n,Seed,Exact status,Exact feasible,NILS feasible,Exact objective,NILS objective,Gap vs exact (%),Exact best bound,Exact solver gap,Exact CPU (s),NILS CPU (s),NILS restarts
3,5027,2,Yes,Yes,11.0776,11.3382,2.35,11.0776,0.0,7.36,0.17,8
4,6027,2,Yes,Yes,11.3196,11.3196,0.0,11.3196,0.0,11.68,0.18,8
5,7027,2,Yes,Yes,9.7519,10.2396,5.0,9.7519,0.0,27.72,0.37,8
6,8027,2,Yes,Yes,10.3102,10.6944,3.73,10.3102,0.0,91.71,0.23,8
7,9027,2,Yes,Yes,10.2202,11.4663,12.19,10.2202,0.0,115.12,0.32,8
8,10027,2,Yes,Yes,11.1326,12.8865,15.75,11.1326,0.0,113.94,0.28,8
9,11027,2,Yes,Yes,10.6977,11.9214,11.44,10.6977,0.0,114.91,0.33,8
