size,pairs,NILSR_wins,NILS_wins,ties,mean_Z_NILSR,mean_Z_NILS,mean_imp_NILSR_vs_NILS,median_imp_NILSR_vs_NILS,wilcoxon_p,mean_cpu_NILSR,mean_cpu_NILS,feasibility_rate_NILSR,feasibility_rate_NILS
All,720,239,199,282,45225.1857180229,43345.4189858961,-51.6579354433,0.0000000000,0.0112576916,19.8773250262,14.7066562527,1.0000000000,1.0000000000
15,230,89,32,109,503.9827067843,207.3687516193,-138.1699704141,0.0000000000,0.3112248248,1.5297171354,0.9636115157,1.0000000000,1.0000000000
50,210,51,54,105,15189.5215810113,13342.3708432850,-19.9241413214,0.0000000000,0.0525177541,12.0747236195,8.0014175222,1.0000000000,1.0000000000
75,90,30,26,34,46766.1915224790,39987.0715023729,-5.1733448881,0.0000000000,0.1010937787,23.0962514268,15.1909577582,1.0000000000,1.0000000000
100,190,69,87,34,131828.7417125293,130317.2239193125,-4.0260505608,0.0000000000,0.3908097955,49.1867604695,38.5246209232,1.0000000000,1.0000000000
