method,size,feasible_runs,mean_high_priority_delivery_time,median_high_priority_delivery_time,p90_high_priority_delivery_time,mean_high_priority_tardiness,median_high_priority_tardiness,p90_high_priority_tardiness,max_high_priority_tardiness,high_priority_on_time_rate,high_priority_late_rate,mean_high_priority_minutes_early_when_on_time,mean_high_priority_delivery_time_relative_to_deadline,high_priority_served_by_drone_share
M1 Truck-only,All,483,161.57484661583533,140.7837673729,315.9298623368,105.69580541589814,80.7865520494,255.9812626445,167.30021340340613,0.18777166038829324,0.8122283396117067,21.93276953354398,2.69317725660936,0.0
M1 Truck-only,15,230,78.47128158804868,70.9865211737,134.62043281380002,27.301477037138984,10.9376151987,74.75156071498002,50.64131268117182,0.4098613251155624,0.5901386748844376,21.554756338815416,1.3077450916215716,0.0
M1 Truck-only,50,200,175.9328477432944,164.9801557312,324.71453791318,118.87084989453956,104.9572623228,264.72760763126,259.6530217475355,0.13906953476738368,0.8609304652326163,21.100945119605758,2.9325696415344673,0.0
M1 Truck-only,75,52,191.6727659557635,188.7687043036,337.49178659886013,134.92981917225688,128.5685708671,277.61035486266013,301.5363200108616,0.12965340179717585,0.8703465982028241,25.07748526247426,3.1948639589223364,0.0
M1 Truck-only,100,1,236.00360842578752,212.0411698799,412.40645294514,179.35032578285833,152.05454062275,352.47423741036,381.4191598814,0.125,0.875,26.660238950433335,3.934267111191667,0.0
M5 NILS,All,720,82.16744012495886,48.0764534496,214.32116341614,39.33390909789111,0.0,154.41614012872006,100.9853480832914,0.5908236179014668,0.40917638209853324,29.053051511863437,1.3695097553729474,0.3241820233170365
M5 NILS,15,230,35.57901653970493,34.068729611,57.18623904008,0.939483181627889,0.0,0.0,2.3645926113454543,0.9306625577812019,0.06933744221879812,27.254488725620035,0.5929221708107858,0.3543913713405239
M5 NILS,50,210,55.53046255740118,45.9541988612,107.87567888296,12.508174306298955,0.0,47.930007173659995,50.65798081388477,0.6504992867332382,0.3495007132667618,26.09600235089781,0.9255591860618163,0.2867332382310984
M5 NILS,75,90,80.25629164077095,52.8387086546,183.08036643361996,36.597765556978345,0.0,122.98756164471996,135.56622850704778,0.5461936437546193,0.4538063562453807,29.912828589622464,1.3376513200898743,0.29416112342941614
M5 NILS,100,190,105.11145733325168,56.5496619061,274.97173922999,61.29529982548102,0.0,214.90833558721002,254.4223696215305,0.5170454545454546,0.4829545454545454,31.298905615074275,1.7519317214318697,0.349948347107438
M8 Feasibility-aware ALNS,All,720,98.58227269174283,88.4961565682,191.62925680038006,48.00190073994505,28.4425963645,131.6310611833801,90.66360987681945,0.3462454556850946,0.6537545443149053,27.20147781275833,1.6430708506747398,0.08173498809076093
M8 Feasibility-aware ALNS,15,230,41.49421440085747,34.9603209281,76.67803146854001,4.143762958637134,0.0,16.596308762000017,9.241558280513637,0.8043143297380585,0.1956856702619415,28.165374240736586,0.691488018661017,0.38212634822804314
M8 Feasibility-aware ALNS,50,210,73.68107328265353,66.8872623741,135.1548894241,24.927388005998957,6.9530521264,75.15999162268,76.05046566458667,0.4427009034712316,0.5572990965287684,25.398714577113637,1.2280929582273896,0.1902044698050404
M8 Feasibility-aware ALNS,75,90,103.37155616874229,100.3130662424,186.48567916175995,51.459241384988914,40.3215905198,126.41250570119996,140.32436647609669,0.29637841832963785,0.7036215816703622,27.277317248585536,1.7229237670951958,0.0029563932002956393
M8 Feasibility-aware ALNS,100,190,120.00207425262072,118.06464374715,211.94914622869,66.67748178509305,57.91516295855,152.01144919292,177.5696285179837,0.23450413223140495,0.765495867768595,28.46227849911718,2.000052970994163,0.0
M9 NILS-R,All,720,84.4339931617955,48.674171189,223.78905281328005,41.52430213310165,0.0,163.8504038098201,103.53735115002098,0.5810455058292591,0.41895449417074093,29.410896104086603,1.4073021662771343,0.3172872007020183
M9 NILS-R,15,230,37.71724620778243,34.9622111539,61.98673383328,2.0942658410542374,0.0,1.903809592200001,5.285910249205909,0.8859784283513097,0.11402157164869031,27.51905057679826,0.6285505593870571,0.32973805855161786
M9 NILS-R,50,210,57.16904592096348,47.4484164368,112.5077270544,13.973784386488017,0.0,52.518744391979986,53.193342296747616,0.6314788397527342,0.3685211602472658,26.608108735764237,0.9528573554034236,0.28245363766048504
M9 NILS-R,75,90,84.78975472860547,54.5753539043,197.26895270341996,40.95098169607679,0.0,137.23442797805995,138.83054112949668,0.5351071692535108,0.46489283074648924,30.1957268039924,1.413265332750924,0.2926829268292683
M9 NILS-R,100,190,106.94845788822376,55.93587240025,279.67147892237006,63.29716755819511,0.0,219.69356238876003,256.2277288300942,0.518595041322314,0.48140495867768596,31.523294199998503,1.7825705200736313,0.3427169421487603
