method,size,feasible_runs,available_drones,mean_active_drones_used,mean_active_drones_used_ratio,mean_drone_served_customers,mean_drone_share,mean_high_priority_served_by_drone_share,mean_medium_priority_served_by_drone_share,mean_low_priority_served_by_drone_share,mean_priority_tardiness_cost,mean_high_priority_tardiness,mean_p90_high_priority_tardiness,mean_drone_distance,mean_sync_wait,mean_battery_slack_after_sortie,service_value_per_drone_customer,service_value_per_active_drone,service_value_per_drone_km
M8 Feasibility-aware ALNS,All,720,1.8472222222222223,0.5402777777777777,0.5131944444444444,4.493055555555555,0.1607129629625,0.17917663138665624,0.15968574006600098,0.15681298225867174,48018.854320694794,531.8210586146447,72.02130693757222,22.43461740060667,0.0,353.44613633944607,5164.5841311648555,41651.898635284306,1133.2402875728646
M8 Feasibility-aware ALNS,15,230,1.0,0.8826086956521739,0.8826086956521739,4.756521739130434,0.31710144927391304,0.38748917748917744,0.3151259489302967,0.3012036272905838,776.6416859298231,11.69261808763261,7.45751370519,36.326626002180866,0.0,383.09700195645564,1508.4448182540573,5686.11811446564,143.46206043750638
M8 Feasibility-aware ALNS,50,210,1.2380952380952381,0.8714285714285714,0.7880952380952381,10.166666666666666,0.2033333333333333,0.1986561392233661,0.2023560218740593,0.20749027330406583,26111.02573836018,249.62998560294523,59.348667019636196,36.745941891303815,0.0,319.3550765294205,9608.873236080379,85370.78154382437,2336.383881036803
M8 Feasibility-aware ALNS,75,90,3.0,0.03333333333333333,0.011111111111111112,0.06666666666666667,0.0008888888888888889,0.002777777777777778,0.0,0.0006172839506172839,42916.51469237692,773.6039288210047,115.44333745041112,0.9016972306822222,0.0,163.89164360088333,,,
M8 Feasibility-aware ALNS,100,190,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131837.60945140442,1358.8168919572613,143.61574946419842,0.0,0.0,,,,
M5 NILS,All,720,1.8472222222222223,1.7361111111111112,0.9504629629629628,10.804166666666667,0.2265972222226389,0.33287802801545413,0.21822129952473865,0.18951688390209942,43151.475420673094,435.7869345470539,69.94537209994431,77.7598008947832,0.0,301.126648723134,8029.992539179273,51359.75890133463,1255.8506990842316
M5 NILS,15,230,1.0,0.9739130434782609,0.9739130434782609,4.6869565217391305,0.31246376811739135,0.37032467532467533,0.28276915113871637,0.3107529547746939,105.47413121609434,2.6509764559852176,1.6999314355473913,39.747353124006956,0.0,405.212393790966,1839.34295918412,5694.073778844041,145.29636518935922
M5 NILS,50,210,1.2380952380952381,1.0952380952380953,0.9285714285714286,9.423809523809524,0.18847619047619046,0.2923102893060876,0.17259227016707832,0.15692790878251653,13161.93219590575,125.26043126737522,34.98328431692334,47.00202127236428,0.0,298.1926730591845,15076.819793052773,105752.78100136534,2592.5256805600525
M5 NILS,75,90,3.0,2.6444444444444444,0.8814814814814815,14.944444444444445,0.1992592592588889,0.29834695683884677,0.21346251727872737,0.14951265937897723,39715.42887794985,550.1864088732423,98.88350092885334,116.29201186245668,0.0,256.97474179830994,7319.13718167981,38998.21570491844,897.412921886422
M5 NILS,100,190,3.0,2.9368421052631577,0.9789473684210527,17.773684210526316,0.17773684210526314,0.3507136023672066,0.1927706716091324,0.09772619275208191,130033.73101341701,1249.133689075061,177.49304679807003,139.51820995212998,0.0,202.05045622297075,22334.526273365875,44669.05254673175,1323.7896106575638
