method_name,n,1,2,3,objective_improvement_2_vs_1_pct,objective_improvement_3_vs_2_pct
nils,15,205.89262442222946,,,,
nils,50,14849.230228392309,6909.731525793032,,53.467409289800386,
nils,75,,,21193.454786022998,,
nils,100,,,68165.67450251032,,
