eligible_share_target,spatial_pattern,objective,improvement,drone_share,truck_distance_reduction
0.25,clustered,6027.447018067401,89.44088538307489,0.13434782608695653,10.543266779980767
0.25,uniform,14776.191457486266,72.32433127702765,0.13752913752913754,30.690222744215568
0.75,clustered,346.16129594057077,87.94278521896503,0.34487455197132616,43.945419865393035
0.75,uniform,11165.994066438525,80.10248334592957,0.18651898734177214,37.48874919075762
