rho,event,node_id,objective,lower_bound,y_json,z_json,w_json
0.075,incumbent_improvement,570,1138.757158673386,1138.757158673385,"[0.75, 1.0, 1.0, 0.5, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.9820256776036]"
0.1,incumbent_improvement,229,1154.5154734571406,1154.5154734571397,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 281.30787141564724, 255.0401029067492, 96.98202567760359]"
0.1,incumbent_improvement,227,1158.831737601958,1158.8317376019577,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 451.4462694509401, 84.90170487145622, 96.98202567760374]"
0.1,incumbent_improvement,228,1156.8962974443557,1156.8962974443548,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 364.81685204088956, 171.53112228150655, 96.98202567760391]"
0.1,incumbent_improvement,230,1152.171486199744,1152.1714861997432,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.81861431312865, 259.5293600092671, 96.98202567760424]"
0.125,incumbent_improvement,229,1164.583451617843,1164.583451617842,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 260.23378703478477, 276.11418728761043, 96.98202567760481]"
0.125,incumbent_improvement,227,1171.776923418155,1171.776923418155,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 348.0289218063354, 188.319052516063, 96.98202567760163]"
0.125,incumbent_improvement,228,1167.87518545304,1167.8751854530392,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 280.2418342024023, 256.1061401199937, 96.98202567760404]"
0.125,incumbent_improvement,230,1162.0302379153763,1162.0302379153757,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 261.2240949648151, 275.12387935758153, 96.98202567760342]"
0.15,incumbent_improvement,227,1182.2161406019495,1182.2161406019495,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 252.0736420293519, 284.27433229304455, 96.98202567760359]"
0.15,incumbent_improvement,228,1177.7066395287547,1177.706639528754,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 253.18914453794577, 283.1588297844506, 96.98202567760374]"
0.15,incumbent_improvement,229,1174.1393583330207,1174.1393583330205,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 257.2556133515211, 279.0923609708765, 96.98202567760246]"
0.15,incumbent_improvement,230,1171.2367434059354,1171.2367434059352,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.1857267942382, 260.16224752815884, 96.98202567760298]"
0.2,incumbent_improvement,227,1201.4261285800317,1201.426128580031,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.18572679424534, 260.1622475281519, 96.98202567760279]"
0.2,incumbent_improvement,228,1196.4409176382123,1196.4409176382117,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350474, 261.88964092889, 96.9820256776053]"
0.2,incumbent_improvement,229,1192.462717608379,1192.4627176083784,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350304, 261.88964092889347, 96.98202567760353]"
0.2,incumbent_improvement,230,1189.494566788295,1189.4945667882944,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935047, 261.889640928892, 96.98202567760333]"
0.25,incumbent_improvement,228,1214.6768834630884,1214.6768834630875,"[0.25, 1.0, 1.0, 0.25, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350554, 261.88964092888966, 96.98202567760481]"
0.25,incumbent_improvement,227,1219.665132702672,1219.6651327026707,"[0.25, 1.0, 1.0, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935094, 261.88964092888466, 96.98202567760595]"
0.25,incumbent_improvement,230,1207.6629733678294,1207.6629733678285,"[0.25, 1.0, 1.0, 0.25, 1.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 236.14323285883987, 300.2047414635574, 96.98202567760273]"
0.25,incumbent_improvement,229,1210.6986834332552,1210.6986834332542,"[0.25, 1.0, 1.0, 0.25, 0.75]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350474, 261.88964092889057, 96.9820256776047]"
