absolute_gap,best_w_json,best_y_json,best_z_json,converged,density_cap,global_lower_bound,incumbent_objective,initial_uniform_gap_percent,initial_uniform_lower_bound,lower_bound_improvement,maximum_depth,maximum_fixed_y_oracle_gap,model_hash,nodes_active_at_end,nodes_bound_pruned,nodes_budget_pruned,nodes_capability_pruned,nodes_closed_feasible_upper,nodes_created,nodes_epsilon_pruned,nodes_processed,oracle_cache_hits,peak_memory_mb,relative_gap_percent,rho,road_budget_slack,road_budget_used,runtime_seconds,starting_commit,termination_reason,total_fixed_y_iterations,unique_fixed_y_oracle_calls
2.2737367544323206e-13,"[0.0,0.0,0.0,536.3479743223969,0.0,96.98202567760316]","[0.75,1.0,1.0,0.5,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1066.7641276789107,1066.7641276789109,2.131433458846772e-14,1066.7641276789107,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,2.131433458846772e-14,0.0,-1.3645302680800957,3.6612682607702762,3064.411512700026,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
6.821210263296962e-13,"[0.0,0.0,0.0,536.3479743223968,0.0,96.9820256776032]","[0.75,1.0,1.0,0.5,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1092.9593185442259,1092.9593185442266,6.241046805275893e-14,1092.9593185442259,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,6.241046805275893e-14,0.025,-1.3645302680800957,3.6612682607702762,6307.8903210000135,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
6.821210263296962e-13,"[0.0,0.0,0.0,536.3479743223969,0.0,96.98202567760312]","[0.75,1.0,1.0,0.5,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1117.4677414045427,1117.4677414045434,6.104167494556392e-14,1117.4677414045427,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,6.104167494556392e-14,0.05,-1.3645302680800957,3.6612682607702762,6076.054626399884,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
9.094947017729282e-13,"[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]","[0.75,1.0,1.0,0.5,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1138.757158673385,1138.757158673386,7.986730927184328e-14,1138.757158673385,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,7.986730927184328e-14,0.075,-1.3645302680800957,3.6612682607702762,7785.277012499981,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
6.821210263296962e-13,"[0.0,0.0,0.0,276.81861431312865,259.5293600092671,96.98202567760424]","[0.25,1.0,1.0,0.25,1.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1152.1714861997432,1152.1714861997439,5.920308170266953e-14,1152.1714861997432,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,5.920308170266953e-14,0.1,-1.3305976768325536,3.627335669522734,8821.432814399945,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
6.821210263296962e-13,"[0.0,0.0,0.0,261.2240949648151,275.12387935758153,96.98202567760342]","[0.25,1.0,1.0,0.25,1.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1162.0302379153757,1162.0302379153763,5.870079831600483e-14,1162.0302379153757,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,5.870079831600483e-14,0.125,-1.3305976768325536,3.627335669522734,9782.036284600035,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
2.2737367544323206e-13,"[0.0,0.0,0.0,276.1857267942382,260.16224752815884,96.98202567760298]","[0.25,1.0,1.0,0.25,1.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1171.2367434059352,1171.2367434059354,1.94131269125005e-14,1171.2367434059352,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,1.94131269125005e-14,0.15,-1.3305976768325536,3.627335669522734,10928.214868400013,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
6.821210263296962e-13,"[0.0,0.0,0.0,274.4583333935047,261.889640928892,96.98202567760333]","[0.25,1.0,1.0,0.25,1.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1189.4945667882944,1189.494566788295,5.734545120045927e-14,1189.4945667882944,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,5.734545120045927e-14,0.2,-1.3305976768325536,3.627335669522734,11255.496213200036,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
9.094947017729282e-13,"[0.0,0.0,0.0,236.14323285883987,300.2047414635574,96.98202567760273]","[0.25,1.0,1.0,0.25,1.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]",True,2.0,1207.6629733678285,1207.6629733678294,7.531030774559607e-14,1207.6629733678285,0.0,0,0.0,dbfd649f46d5087c0e1db445fd50c0fbd69a26f707da1f04f37d7e0c21a9e357,0,647,0,0,0,647,0,647,647,,7.531030774559607e-14,0.25,-1.3305976768325536,3.627335669522734,12049.105300200055,9147b43819f72b84cde1b121b0e2b8c07dab0cd9,epsilon_gap_closed,0,0
