rho,road_adaptation_value,zw_given_y0_adaptation_value,complete_policy_adaptation_value,decomposition_error,road_adaptation_percent_of_frozen_nominal_plan,zw_adaptation_percent_of_frozen_nominal_plan,complete_adaptation_percent_of_frozen_nominal_plan,frozen_nominal_plan_value,theta_y0,selected_value
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.808480778403,1070.808480778403,1070.808480778403
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.391425585094,1097.391425585094,1097.391425585094
0.05,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,4.0533685026929646e-14,4.0533685026929646e-14,1121.8998484454114,1121.899848445411,1121.899848445411
0.075,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,3.977356000124136e-14,3.977356000124136e-14,1143.3408296171406,1143.3408296171401,1143.3408296171401
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.7102992138502,1159.7102992138502,1159.7102992138502
0.125,0.4053616692956439,0.6054609671466551,1.010822636442299,0.0,0.034481695890009434,0.05150294791981287,0.0859846438098223,1175.5850715367264,1174.9796105695798,1174.5742489002841
0.15,2.3715122120866,4.041608267730226,6.4131204798168255,0.0,0.19904256314710095,0.33921481185953206,0.5382573750066331,1191.4598438596026,1187.4182355918724,1185.0467233797858
0.2,3.0053357505980784,15.336674329120115,18.342010079718193,0.0,0.2457625045263,1.254162531916337,1.499925036442637,1222.8617853609421,1207.525111031822,1204.519775281224
0.25,3.0769220602674068,13.710681941444363,16.78760400171177,0.0,0.24822385662147647,1.1060788286980463,1.3543026853195228,1239.5754792253879,1225.8647972839435,1222.787875223676
