rho,rank,objective,gap,gap_percent,y_json,z_json,w_json
0.05,5,1124.421817163598,2.521968718187054,0.22479446108150114,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760369]"
0.05,6,1150.2464758748417,28.346627429430782,2.5266629163654963,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760319]"
0.05,7,1151.4018175409628,29.501969095551885,2.6296437365984193,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760316]"
0.05,8,1152.0279102203044,30.128061774893467,2.685450204547335,"[0.25, 1.0, 0.75, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760312]"
0.05,9,1152.2110165584536,30.31116811304264,2.7017712993761434,"[0.25, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.98202567760262]"
0.05,10,1153.043273053735,31.14342460832404,2.77595407927711,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760347]"
0.075,1,1143.3408296171401,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760283]"
0.075,2,1145.3965056173017,2.0556760001616112,0.1797955558754838,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760322]"
0.075,3,1145.6484729009494,2.307643283809284,0.20183336622221493,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760326]"
0.075,4,1145.7692040173758,2.4283744002357253,0.21239286985395012,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760347]"
0.075,5,1145.911523989133,2.570694371992886,0.22484059918106425,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]"
0.075,6,1173.073980879225,29.733151262084903,2.6005501152304156,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.9820256776032]"
0.075,7,1174.2291589550823,30.888329337942196,2.7015854361017944,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223967, 0.0, 96.98202567760332]"
0.075,8,1174.8938821170343,31.553052499894193,2.7597241069804213,"[0.25, 1.0, 0.75, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223974, 0.0, 96.98202567760272]"
0.075,9,1175.0769884551837,31.736158838043593,2.7757391335942128,"[0.25, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760329]"
0.075,10,1175.8362966660814,32.49546704894124,2.8421504950385312,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760372]"
0.1,1,1159.7102992138502,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]"
0.1,2,1161.706179519288,1.9958803054378222,0.17210162803511508,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 451.4462694508458, 84.90170487155086, 96.98202567760342]"
0.1,3,1162.3138660734392,2.603566859588909,0.22450148639310274,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223961, 0.0, 96.98202567760396]"
0.1,4,1162.4350357246865,2.7247365108362374,0.2349497553555624,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223974, 0.0, 96.98202567760264]"
0.1,5,1162.5777942312648,2.8674950174145124,0.24725959744933412,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760373]"
0.1,6,1194.333648839585,34.62334962573482,2.9855171286488957,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223961, 0.0, 96.98202567760393]"
0.1,7,1195.2255704992021,35.5152712853519,3.0624261343050296,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760379]"
0.1,8,1196.1738269436003,36.46352772975001,3.1441928000870645,"[0.25, 1.0, 0.75, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223974, 0.0, 96.98202567760265]"
0.1,9,1196.3336159188711,36.6233167050209,3.1579711527824905,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 437.09515736714303, 99.25281695525445, 96.98202567760262]"
0.1,10,1196.3569332817497,36.64663406789941,3.1599817724083046,"[0.25, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760318]"
0.125,1,1174.5742489002841,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 348.0289218062954, 188.3190525161009, 96.98202567760376]"
0.125,2,1174.9796105695798,0.4053616692956439,0.034511370368894845,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 447.83264231611014, 88.51533200628711, 96.98202567760278]"
0.125,3,1177.5675196923407,2.9932707920565917,0.254838789021572,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 445.9303230012449, 90.41765132115147, 96.98202567760366]"
0.125,4,1177.6607580940636,3.0865091937794205,0.26277684843416527,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 445.93032300125975, 90.41765132113773, 96.98202567760255]"
0.125,5,1177.7663799570878,3.192131056803646,0.27176920146105843,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 445.93032300125, 90.41765132114693, 96.98202567760312]"
0.125,6,1210.5640336855936,35.98978478530944,3.0640706467901513,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 372.8678632239514, 163.48011109844492, 96.98202567760369]"
0.125,7,1210.6501697340527,36.07592083376858,3.0714040315071856,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223955, 0.0, 96.98202567760447]"
0.125,8,1211.1054961142013,36.53124721391714,3.1101692590417507,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 447.68918880442607, 88.65878551797132, 96.98202567760265]"
0.125,9,1212.6908557561057,38.1166068558216,3.2451423902327914,"[0.25, 1.0, 0.75, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.98202567760354]"
0.125,10,1212.8764539140911,38.302205013807,3.2609437036158484,"[0.25, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760293]"
0.15,1,1185.0467233797858,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 280.59320351909935, 255.75477080329875, 96.98202567760194]"
0.15,2,1187.4182355918724,2.3715122120866,0.20011972231128716,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 278.1918870060498, 258.156087316347, 96.98202567760325]"
0.15,3,1189.7883757572356,4.741652377449782,0.4001236646540285,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 280.95069836503933, 255.39727595735698, 96.98202567760373]"
0.15,4,1189.8997390396737,4.8530156598878875,0.4095210394782445,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 281.7127868626645, 254.63518745973047, 96.9820256776051]"
0.15,5,1190.0244818147412,4.977758434955376,0.42004744089403356,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 282.42615660582095, 253.9218177165764, 96.98202567760265]"
0.15,6,1223.0938824295217,38.04715904973591,3.2106041305463684,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 367.48589858456336, 168.86207573783275, 96.98202567760397]"
0.15,7,1224.0338344799932,38.98711110020736,3.2899218512680184,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 380.31783492795836, 156.03013939443986, 96.98202567760183]"
0.15,8,1225.7201959956724,40.67347261588657,3.432225229051289,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 445.9303230012912, 90.41765132110504, 96.98202567760386]"
0.15,9,1226.4636079190464,41.416884539260536,3.4949579389695673,"[0.0, 1.0, 0.75, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 380.31783492796836, 156.03013939442945, 96.98202567760225]"
0.15,10,1226.634554582541,41.5878312027553,3.5093832489697663,"[0.0, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 380.3178349279098, 156.0301393944879, 96.98202567760228]"
0.2,1,1204.519775281224,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.18572679423403, 260.1622475281618, 96.98202567760421]"
0.2,2,1207.525111031822,3.0053357505980784,0.24950489085133754,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 255.30280878145763, 281.0451655409398, 96.98202567760251]"
0.2,3,1210.0551251992815,5.535349918057591,0.459548280705091,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 248.44997520854307, 287.89799911385444, 96.9820256776025]"
0.2,4,1210.2038435330005,5.68406825177658,0.47189497162465344,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 251.22509159523176, 285.12288272716376, 96.9820256776045]"
0.2,5,1210.3540331808513,5.834257899627346,0.4843638119818472,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 251.8655030690785, 284.4824712533182, 96.98202567760332]"
