rho,objective,selected_y_json,selected_z_json,selected_w_json,feasible_count,infeasible_count,tie_count,state_count,critical_state_count,regime_probabilities_json,grid_scope
0.0,1074.3696827675963,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.384685084023737, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322398, 0.0, 96.982025677602]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.025,1100.1420121709912,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373736, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223967, 0.0, 96.98202567760408]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.05,1124.6504350313094,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223946, 0.0, 96.9820256776049]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.075,1144.8733425238643,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373736, 0.0, 0.0]","[0.0, 0.0, 0.0, 492.8692293846658, 43.478744937757725, 96.98202567757652]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.1,1159.9644819241444,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373697, 0.0, 0.0]","[0.0, 0.0, 0.0, 435.6847398207581, 100.66323450163769, 96.98202567760406]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.125,1171.9023154698505,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.3846850840237378, 0.0, 0.0]","[0.0, 0.0, 0.0, 278.85972960509275, 257.48824471726357, 96.98202567764388]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.15,1182.0894522373512,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373663, 0.0, 0.0]","[0.0, 0.0, 0.0, 253.79222084810544, 282.55575347441004, 96.9820256774845]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.2,1201.3240719304695,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.3846850840237372, 0.0, 0.0]","[0.0, 0.0, 0.0, 279.64051359480374, 256.7074607275311, 96.98202567766502]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
0.25,1219.5996345723133,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373874, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333934124, 261.8896409289727, 96.98202567761494]",422,574,1,128,18,"{""normal"": 0.7, ""north"": 0.15, ""central"": 0.1, ""widespread"": 0.05}","full {0,.25,.5,.75,1}^5 intersect road budget"
