rho,nominal_sum,worst_case_sum,nominal_sum_error,worst_case_sum_error,nominal_design_basis_mass,worst_case_design_basis_mass,actual_tv_movement,minimum_tv_for_value,radius,radius_used_percent,nominal_expected_loss,robust_loss,ambiguity_premium
0.0,1.0,1.0,0.0,0.0,0.7553367630226013,0.7553367630226013,0.0,0.0,0.0,0.0,1070.808480778403,1070.808480778403,0.0
0.025,1.0,1.0,0.0,0.0,0.7553367630226013,0.7303367630226015,0.024999999999999994,0.02500000000000046,0.025,100.00000000000182,1070.8084807784028,1097.391425585094,26.58294480669133
0.05,1.0,1.0,0.0,0.0,0.7553367630226013,0.7053367630226015,0.049999999999999996,0.05000000000000099,0.05,100.00000000000196,1070.8084807784023,1121.899848445411,51.091367667008626
0.075,1.0,1.0,0.0,0.0,0.7553367630226013,0.68405910508495,0.07499999999999998,0.0750000000000012,0.075,100.00000000000162,1070.8084807784026,1143.3408296171401,72.53234883873756
0.1,1.0,1.0,0.0,0.0,0.7553367630226013,0.6619144243776356,0.10000000000000014,0.10000000000000214,0.1,100.00000000000215,1070.8084807784026,1159.7102992138502,88.9018184354477
0.125,1.0,0.9999999999999998,0.0,2.220446049250313e-16,0.7740405972210818,0.6819773828996382,0.125,0.12499999999999811,0.125,99.9999999999985,1090.6422008695417,1174.5742489002841,83.93204803074241
0.15,1.0,1.0,0.0,0.0,0.7740405972210818,0.6509525904519542,0.15000000000000002,0.14999999999999902,0.15,99.99999999999935,1097.1449483159709,1185.0467233797858,87.90177506381497
0.2,1.0,0.9999999999999998,0.0,2.220446049250313e-16,0.7740405972210818,0.634084167980254,0.19999999999999996,0.20000000000000215,0.2,100.00000000000107,1097.5699641846563,1204.519775281224,106.9498110965676
0.25,1.0,1.0,0.0,0.0,0.7740405972210818,0.6340841679802541,0.24999999999999994,0.2500000000000018,0.25,100.00000000000071,1097.7366969643745,1222.787875223676,125.05117825930165
