rho,best_objective,best_y_json,second_best_objective,second_best_y_json,absolute_margin,margin_percent,numerical_tie_count,within_0p01_percent,within_0p05_percent,within_0p10_percent,within_0p50_percent,operationally_feasible_count
0.0,1074.3696827675963,"[0.25, 1.0, 1.0, 0.0, 0.0]",1074.772958718862,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.4032759512656412,0.03753605092680079,1,1,2,2,5,422
0.1,1159.9644819241444,"[0.0, 1.0, 1.0, 0.0, 0.25]",1160.0573986231677,"[0.25, 1.0, 1.0, 0.0, 0.0]",0.09291669902336253,0.008010305528416417,1,2,2,2,5,422
0.25,1219.5996345723133,"[0.0, 1.0, 1.0, 0.0, 0.25]",1223.9908396199794,"[0.25, 1.0, 1.0, 0.0, 0.0]",4.3912050476660625,0.3600529979828959,1,1,1,1,2,422
