rho,center_id,minimum,maximum,width,tie_tolerance
0.0,center_17201,0.0,0.016143800065224596,0.016143800065224596,0.01070808480778403
0.0,center_17202,0.0,0.0328548731811764,0.0328548731811764,0.01070808480778403
0.0,center_17204,0.0,0.09900917381152433,0.09900917381152433,0.01070808480778403
0.0,center_17205,536.2489651485848,536.583329672276,0.3343645236911925,0.01070808480778403
0.0,center_17461,0.0,0.09710550286482704,0.09710550286482704,0.01070808480778403
0.0,center_17463,96.74667032772402,97.004553608469,0.25788328074497713,0.01070808480778403
0.025,center_17201,0.0,0.017204046380374455,0.017204046380374455,0.010973914255850942
0.025,center_17202,0.0,0.034884494972683755,0.034884494972683755,0.010973914255850942
0.025,center_17204,0.0,0.10397056036459745,0.10397056036459745,0.010973914255850942
0.025,center_17205,536.2171294422631,536.5020409435806,0.28491150131753784,0.010973914255850942
0.025,center_17461,0.0,0.13084488013410367,0.13084488013410367,0.010973914255850942
0.025,center_17463,96.82795905641945,97.00629822265512,0.17833916623567347,0.010973914255850942
0.05,center_17201,0.0,0.018383843226011626,0.018383843226011626,0.01121899848445411
0.05,center_17202,0.0,0.03694822571099193,0.03694822571099193,0.01121899848445411
0.05,center_17204,0.0,0.10898144305185477,0.10898144305185477,0.01121899848445411
0.05,center_17205,536.1485803442641,536.4633130114845,0.31473266722036897,0.01121899848445411
0.05,center_17461,0.0,0.19939397813354814,0.19939397813354814,0.01121899848445411
0.05,center_17463,96.86668698851554,97.00824826047108,0.14156127195553836,0.01121899848445411
0.075,center_17201,0.0,0.019430925591668965,0.019430925591668965,0.011433408296171402
0.075,center_17202,0.0,0.04016863612159023,0.04016863612159023,0.011433408296171402
0.075,center_17204,0.0,0.11394672007402025,0.11394672007402025,0.011433408296171402
0.075,center_17205,536.0120996258581,536.4424694852792,0.43036985942103456,0.011433408296171402
0.075,center_17461,0.0,0.3358746965391388,0.3358746965391388,0.011433408296171402
0.075,center_17463,96.88753051472088,97.01002171750656,0.12249120278568171,0.011433408296171402
0.1,center_17201,0.0,0.02044507565004503,0.02044507565004503,0.011597102992138503
0.1,center_17202,0.0,0.044075872065388454,0.044075872065388454,0.011597102992138503
0.1,center_17204,0.0,0.11865825100719474,0.11865825100719474,0.011597102992138503
0.1,center_17205,535.4323841540706,536.4284877919769,0.9961036379062307,0.011597102992138503
0.1,center_17461,0.0,0.9155901683265713,0.9155901683265713,0.011597102992138503
0.1,center_17463,96.90151220802318,97.01167539205267,0.11016318402948855,0.011597102992138503
0.125,center_17201,0.0,0.02157810252894859,0.02157810252894859,0.011745742489002842
0.125,center_17202,0.0,0.04903823576597778,0.04903823576597778,0.011745742489002842
0.125,center_17204,0.0,0.13935875324777727,0.13935875324777727,0.011745742489002842
0.125,center_17205,331.31027296783765,352.70905699811385,21.398784030276204,0.011745742489002842
0.125,center_17461,183.63891732428462,205.03770135455989,21.398784030275266,0.011745742489002842
0.125,center_17463,96.90568203219561,97.01328394152131,0.10760190932569458,0.011745742489002842
0.15,center_17201,0.0,0.022185875056182403,0.022185875056182403,0.01185046723379786
0.15,center_17202,0.0,0.05178489579391866,0.05178489579391866,0.01185046723379786
0.15,center_17204,0.0,0.143324901996014,0.143324901996014,0.01185046723379786
0.15,center_17205,274.5694380042269,281.81730591315943,7.2478679089325055,0.01185046723379786
0.15,center_17461,254.53066840923685,261.77853631817123,7.247867908934381,0.01185046723379786
0.15,center_17463,96.90437951432884,97.01382065006825,0.1094411357394165,0.01185046723379786
0.2,center_17201,0.0,0.023419413107319157,0.023419413107319157,0.01204519775281224
0.2,center_17202,0.0,0.05763999893405414,0.05763999893405414,0.01204519775281224
0.2,center_17204,0.0,0.14822708987022096,0.14822708987022096,0.01204519775281224
0.2,center_17205,273.1422864232699,276.8129282446753,3.670641821405354,0.01204519775281224
0.2,center_17461,259.5350460777204,263.20568789912704,3.6706418214066616,0.01204519775281224
0.2,center_17463,96.9011550372,97.01505983093847,0.11390479373847029,0.01204519775281224
0.25,center_17201,0.0,0.024901904409513058,0.024901904409513058,0.012227878752236762
0.25,center_17202,0.0,0.06575503158056632,0.06575503158056632,0.012227878752236762
0.25,center_17204,0.0,0.15638346584313328,0.15638346584313328,0.012227878752236762
0.25,center_17205,274.11393721952146,274.8488768913699,0.7349396718484513,0.012227878752236762
0.25,center_17461,261.49909743102705,262.2340371028754,0.7349396718483376,0.012227878752236762
0.25,center_17463,96.8982766284555,97.01589782910656,0.11762120065105819,0.012227878752236762
