rho,theta_A,theta_B,D_A_minus_B,preferred
0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A
0.025,1100.1420121709912,1100.7577919732275,-0.615779802236375,A
0.05,1124.6504350313094,1125.2662148335426,-0.6157798022331917,A
0.075,1144.8733425238643,1145.0042599260833,-0.13091740221898363,A
0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B
0.125,1174.693532379301,1171.9023154698505,2.7912169094504407,B
0.15,1185.9603874209652,1182.0894522373512,3.8709351836139376,B
0.2,1205.6198815270382,1201.3240719304695,4.295809596568688,B
0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B
