lambda_distance_scale,method,feasible,objective,improvement_vs_truck_only_pct,runtime_seconds,drone_served_customers,drone_served_high,drone_served_medium,drone_served_low,waiting_sync_cost,drone_service_share_pct
0.12,truck_only,True,552234.258005924,,20.18348455429077,0,0,0,0,0.0,0.0
0.12,simple_drone,True,525329.0015735055,4.872073045517211,20.217610836029053,6,3,1,2,0.0,7.5
0.12,paired_baseline,True,490496.4228008367,11.179646012548735,20.326826810836792,7,3,1,3,290.24437399893475,8.75
0.12,no_unpairing,True,509086.18822332367,7.813363469771829,26.86999535560608,8,3,2,3,76.91832273050545,10.0
0.12,nils,True,536079.7868115231,2.9252931994355955,2.3164072036743164,8,3,1,4,0.0,10.0
0.12,nils_no_local_search,True,540010.3091847912,2.21354409725913,2.0757570266723633,8,3,1,4,0.0,10.0
0.12,nils_no_perturbation,True,536079.7868115231,2.9252931994355955,1.338639497756958,8,3,1,4,0.0,10.0
