battery_slack_ratio,n_feasible,avg_objective_feasible,avg_improvement_feasible_pct,avg_cpu_feasible_s
0.05,493,8482.953945442267,82.1027361779144,1.924890500294993
0.1,489,8750.134080425318,81.70513777898876,1.9165283531742836
0.15,486,9185.06289527263,81.25325760909391,1.715155354252568
0.2,484,9428.921489374585,80.66534354604083,1.6802087613373748
