battery_slack_ratio,n_feasible,coverage_ratio,avg_high_tard_min,p90_high_tard_min,avg_makespan,avg_priority_tard_cost,avg_obj
0.05,493,1.0,104.93308054149811,295.9686165118304,158.98114669828524,8319.516147254524,8482.953945442267
0.1,489,1.0,107.11505809640292,304.0321614379149,159.43464171581664,8585.926767713781,8750.134080425318
0.15,486,1.0,114.76255650838377,321.9138552162492,160.13254501897617,9020.003298680753,9185.06289527263
0.2,484,1.0,118.51440663480464,339.06765132956474,160.8626964242949,9262.928955907082,9428.921489374585
