battery_slack_ratio,n_runs,feasible_rate,coverage_ratio,avg_high_tard_min,p90_high_tard_min,avg_makespan,avg_priority_tard_cost,avg_obj,avg_impr_vs_truck
0.05,720,0.6847222222222222,1.0,1239.8691639525337,4371.052032699353,293.9759648519067,125728.66360502136,8482.953945442267,82.1027361779144
0.1,720,0.6791666666666667,1.0,1245.3743594071973,4371.052032699353,294.78142595418365,126033.94171671418,8750.134080425318,81.70513777898876
0.15,720,0.675,1.0,1250.3321993963639,4371.052032699353,295.1879906181381,126256.9473445172,9185.06289527263,81.25325760909391
0.2,720,0.6722222222222223,1.0,1253.5916919185056,4371.052032699353,295.709399437559,126402.78939477226,9428.921489374585,80.66534354604083
