method,status,feasible,objective,runtime_seconds,truck_cost,drone_cost,waiting_sync_cost,priority_tardiness_cost,drone_served_customers,drone_service_share,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes,served_high,served_medium,served_low,drone_served_high,drone_served_medium,drone_served_low,improvement_vs_truck_only_pct
nils_no_perturbation,ablation_no_perturbation,True,455653.9391375936,0.997838020324707,534.7070179939019,36.434678832817454,0.0,455082.7974407669,4,0.05,6,0,0,2,40,20,20,1,2,1,71.4878468743887
nils,nils_complete,True,455653.9391375936,1.1691136360168457,534.7070179939019,36.434678832817454,0.0,455082.7974407669,4,0.05,6,0,0,2,40,20,20,1,2,1,71.4878468743887
no_unpairing,baseline_no_unpairing,True,480936.2594389406,2.0717546939849854,537.3211894596251,33.161177843184255,789.5148553033326,479576.26221633446,3,0.0375,5,3,3,2,40,20,20,0,1,2,69.90582743839502
nils_no_local_search,ablation_no_local_search,True,1241177.1511973585,0.561392068862915,1096.344630223757,34.544306876941,0.0,1240046.2622602575,4,0.05,6,0,0,2,40,20,20,1,2,1,22.334407866793825
simple_drone,baseline_simple_drone,True,1396995.1815700254,0.0464651584625244,1060.816786949837,34.91498229218244,0.0,1395899.4498007833,4,0.05,6,0,0,2,40,20,20,1,2,1,12.584228706430926
random_feasible,baseline_random_feasible,True,1528604.822961677,0.0480146408081054,1037.806112957128,33.18902787618644,0.0,1527533.827820844,4,0.05,6,0,0,2,40,20,20,0,2,2,4.348868653870426
paired_baseline,baseline_paired,True,1534928.5579935843,1.7114624977111816,1083.8958855382518,19.584,866.3485111556838,1532958.7295968905,2,0.025,4,2,2,2,40,20,20,0,1,1,3.95316637617964
truck_only,baseline_truck_only,True,1598104.2790076009,0.0244157314300537,1110.8841845779257,0.0,0.0,1596993.394823023,0,0.0,0,0,0,0,40,20,20,0,0,0,
