instance_id,random_seed,scenario_id,scenario_class,n,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,objective_for_reporting_nils,objective_for_reporting_no_unpairing,objective_for_reporting_paired_baseline,improvement_pct_vs_no_unpairing,improvement_pct_vs_paired_baseline,nils_result_vs_no_unpairing,nils_result_vs_paired_baseline,cpu_time_seconds_nils,cpu_time_seconds_no_unpairing,cpu_time_seconds_paired_baseline,customers_served_by_drone_nils,customers_served_by_drone_no_unpairing,customers_served_by_drone_paired_baseline,drone_service_share_nils,drone_service_share_no_unpairing,drone_service_share_paired_baseline,waiting_sync_cost_nils,waiting_sync_cost_no_unpairing,waiting_sync_cost_paired_baseline
S0002_R01,202027,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,79.5340332503585,174.06985854420324,121.10405883768438,54.30912972784334,34.3258731262196,Win,Win,0.3675611019134521,0.3743221759796142,0.4768366813659668,0,2,2,0.0,0.1333333333333333,0.1333333333333333,0.0,118.87263242501442,0.0
S0002_R02,202028,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,126.0112444808305,144.9603047231521,168.03090409475385,13.071895977668413,25.00710202108307,Win,Win,0.4452462196350097,0.6945273876190186,2.9646403789520264,1,2,2,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0,49.78177408682821,39.63700986515224
S0002_R03,202029,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,129.5818202799879,125.11422772070348,152.21652585257482,-3.57081096264893,14.870071068701922,Loss,Win,0.6579334735870361,0.3393006324768066,0.6405043601989746,2,2,2,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,0.0,25.61757909250201
S0002_R04,202030,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,127.34704817617217,91.63545165887552,179.80403577597673,-38.9713761113303,29.174532914913158,Loss,Win,0.3588345050811767,0.4870154857635498,0.5317094326019287,1,2,2,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0,0.0,56.2518347138859
S0002_R05,202031,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,50.37734462428956,120.23798650622255,135.9012677694767,58.10197252289946,62.93092371313091,Win,Win,0.4443845748901367,0.3946497440338135,0.5784351825714111,1,2,3,0.0666666666666666,0.1333333333333333,0.2,0.0,69.5948012179739,24.71174468693722
S0002_R06,202032,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,109.9629880183224,172.37963922928617,164.1363172188466,36.208830399013614,33.00508389517093,Win,Win,0.65860915184021,0.4799919128417969,0.8073265552520752,0,2,2,0.0,0.1333333333333333,0.1333333333333333,0.0,50.53451241736828,42.195901879613565
S0002_R07,202033,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,51.48609360079755,79.71467188400442,115.1236979361299,35.41202342811277,55.277588781623564,Win,Win,0.3554728031158447,0.3759796619415283,0.6425797939300537,2,2,2,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,0.0,0.0
S0002_R08,202034,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,120.3040632275464,150.57961541133932,173.71044567755752,20.106009768380005,30.744485308122695,Win,Win,0.3136153221130371,0.8192028999328613,0.5811777114868164,0,0,2,0.0,0.0,0.1333333333333333,0.0,0.0,94.79695310298474
S0002_R09,202035,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,53.95772742828159,138.8288453581276,160.66868191819952,61.133633799884734,66.41677345946435,Win,Win,0.602820634841919,0.3693373203277588,0.654634952545166,1,2,2,0.0666666666666666,0.1333333333333333,0.1333333333333333,0.0,60.18054064832349,44.9341751876274
S0002_R10,202036,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,1,3,low,1.25,clustered,medium,strict,114.36294451497264,127.978718501955,122.3311194083346,10.63909230093937,6.513612343204862,Win,Win,0.3369660377502441,0.251335859298706,0.3697938919067383,0,1,1,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0
S0003_R01,302027,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,149.68504909511205,197.9273695870829,237.0906479012627,24.373749114442443,36.865899005240834,Win,Win,0.3245761394500732,0.2577226161956787,0.6493842601776123,3,3,3,0.2,0.2,0.2,0.0,22.775063140932097,57.77175000925999
S0003_R02,302028,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,163.7301870117479,168.16431494714985,197.88232418794317,2.636782920797141,17.258811425601877,Win,Win,0.312230110168457,0.2028288841247558,0.2926762104034424,2,0,2,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0,44.60940335989329
S0003_R03,302029,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,184.735133865604,353.7541272126295,267.16123680183364,47.77866329893982,30.85256825538992,Win,Win,0.4273631572723388,0.4259049892425537,0.280484676361084,3,0,3,0.2,0.0,0.2,0.0,0.0,41.26238057255364
S0003_R04,302030,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,176.321153490268,242.9712522775595,279.5943384024355,27.431269404313483,36.93679403605116,Win,Win,0.241999864578247,0.7287938594818115,0.5412120819091797,3,3,3,0.2,0.2,0.2,0.0,0.0,80.76636958368843
S0003_R05,302031,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,206.8633452659518,191.65118608786656,231.72984092021284,-7.937419793014433,10.73081289639466,Loss,Win,0.5054526329040527,0.4509077072143554,0.2958838939666748,2,1,0,0.1333333333333333,0.0666666666666666,0.0,0.0,0.0,0.0
S0003_R06,302032,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,110.10697172047657,151.89392824581816,137.54050553370288,27.510616788918316,19.9457852119818,Win,Win,0.332526683807373,0.2328360080718994,0.4028120040893554,2,2,1,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0,31.90322154360787,0.0
S0003_R07,302033,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,141.73847650124225,227.38535539274432,193.19095052580263,37.66596082829132,26.632962819699145,Win,Win,0.5099010467529297,0.378558874130249,0.3199317455291748,2,0,1,0.1333333333333333,0.0,0.0666666666666666,0.0,0.0,0.0
S0003_R08,302034,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,117.66212562607572,255.13805680786152,225.311194928164,53.88295768252076,47.77794966486688,Win,Win,0.3685152530670166,0.5696203708648682,1.606513500213623,2,2,2,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,102.41343738261214,0.0
S0003_R09,302035,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,1,3,low,2.0,uniform,short,flat,133.1840099242935,156.611235885216,192.69265060666572,14.958841125609183,30.882672740770158,Win,Win,0.2667927742004394,0.3013820648193359,0.3742210865020752,1,0,2,0.0666666666666666,0.0,0.1333333333333333,0.0,0.0,17.95763693463174
