Scope,Comparator,Matched instances,NILS feasible,Comparator feasible,NILS wins,NILS losses,Ties,Mean obj. NILS,Median obj. NILS,Mean obj. comparator,Median obj. comparator,Mean improvement (%),Median improvement (%),Mean CPU NILS (s),Mean CPU comparator (s),Median CPU NILS (s),Median CPU comparator (s),Wilcoxon p-value
All sizes,Flexible same-truck,720,720,720,654,65,1,48038.47221368041,2836.1668311884596,95268.93875676708,6027.091181834003,33.313354641167464,41.52853276831395,11.776974936657481,522.0561014420456,4.177963852882385,38.18278610706329,5.014615260243736e-86
All sizes,Fixed paired,720,720,720,638,82,0,48038.47221368041,2836.1668311884596,79416.47494002659,5742.729235213163,27.190723835636,41.66890719337289,11.776974936657481,418.63850777645905,4.177963852882385,20.124585509300232,4.019268171127602e-71
