Scope,Comparator,Matched instances,NILS feasible,Comparator feasible,NILS wins,NILS losses,Ties,Mean obj. NILS,Median obj. NILS,Mean obj. comparator,Median obj. comparator,Mean improvement (%),Median improvement (%),Mean CPU NILS (s),Mean CPU comparator (s),Median CPU NILS (s),Median CPU comparator (s),Wilcoxon p-value
n=100,Flexible same-truck,190,190,190,190,0,0,147412.43811595725,109235.22537026921,309103.05926602945,304397.0872595073,51.85574180618283,49.61880067839717,35.00649718610864,1842.3705838680266,31.054508924484253,1005.3228898048401,6.262919771371905e-33
n=15,Flexible same-truck,230,230,230,217,12,1,212.97251431657875,116.22275656944512,430.79531050887573,152.2369463648703,20.60942385439569,37.845842108941085,0.2963076125020566,0.6035609110541965,0.2672078609466553,0.3988596200942993,2.3668580695186134e-33
n=50,Flexible same-truck,210,210,210,169,41,0,14036.320224018284,3992.9895959579417,19331.911971592686,7405.675204173813,29.31187677055918,25.06337540420393,3.7916718131019955,46.393666361627126,3.6868703365325928,26.38757014274597,3.6749235619498704e-15
n=75,Flexible same-truck,90,90,90,78,12,0,39808.06473868183,11982.547845194575,63391.89120972455,17333.98127842771,35.97069766819335,36.8026593797486,10.708729526731704,177.20547953181796,8.872937560081482,132.30895519256592,1.1858302698514281e-11
