Policy,Feasible runs,Runs,Mean drone-served customers,Median drone-served customers,Mean drone service share,Mean waiting/sync cost,Median waiting/sync cost,Mean priority tardiness cost,Mean CPU (s),Median CPU (s)
Fully unpaired,720,720,9.541666666666666,7.0,0.19191666666666668,0.0,0.0,47838.2099385886,11.776974936657481,4.177963852882385
Flexible same-truck,720,720,3.475,3.0,0.11242129629629628,78.93106286859879,50.55117038611854,95027.91268103663,522.0561014420456,38.18278610706329
Fixed paired,720,720,4.645833333333333,3.0,0.1295925925925926,123.92980640188617,92.57562534952211,79112.6387695645,418.63850777645905,20.124585509300232
