lambda_distance_scale,method,feasible,objective,improvement_vs_truck_only_pct,runtime_seconds,drone_served_customers,drone_served_high,drone_served_medium,drone_served_low,waiting_sync_cost,drone_service_share_pct
0.125,truck_only,True,619498.8040159907,,20.247323274612427,0,0,0,0,0.0,0.0
0.125,simple_drone,True,574550.6324045954,7.255570361074514,20.443556547164917,6,3,1,2,0.0,7.5
0.125,paired_baseline,True,495327.0643416612,20.043903050234842,24.65397572517395,6,3,1,2,328.5876014922435,7.5
0.125,no_unpairing,True,483988.35656372504,21.87420646719567,71.14888095855713,8,3,2,3,45.01544962240606,10.0
0.125,nils,True,440727.10183140304,28.85747333581182,23.60227108001709,8,3,1,4,0.0,10.0
0.125,nils_no_local_search,True,493824.91359902127,20.286381442913246,2.7041232585906982,8,3,1,4,0.0,10.0
0.125,nils_no_perturbation,True,485154.4185411474,21.685979795915085,2.0776193141937256,8,3,1,4,0.0,10.0
