rho,source_model,evaluation_model,source_y_json,source_z_json,source_w_json,evaluation_model_benchmark,road_reoptimized_objective,road_regret,road_regret_percent,complete_plan_objective,complete_plan_regret,complete_plan_regret_percent,capability_feasible,infeasible_design_basis_state_count,maximum_oracle_gap,regret_divided_by_m4_policy_margin,regret_divided_by_oracle_tolerance,regret_status,complete_regret_status,source_plan_own_capability_feasible
0.0,M0,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423058,0.0,82.59850285769339]",911.5332829583576,911.5332829583576,0.0,0.0,911.5332829583576,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M0,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423058,0.0,82.59850285769339]",911.50798730204,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,911.5079873020413,1.3642420526593924e-12,1.4966868877335828e-13,True,0,1.0231815394945443e-12,6.051999155716657e-14,1.1368683772161601e-08,numerically_zero,numerically_zero,True
0.0,M0,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423058,0.0,82.59850285769339]",1070.8004545356116,1070.8004545356116,0.0,0.0,1071.431169575305,0.6307150396933139,0.05890126746041068,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M0,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423058,0.0,82.59850285769339]",1070.786340172655,1070.786340172655,0.0,0.0,1071.4216284460167,0.6352882733617662,0.059329135003658294,True,0,0.0,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M0,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423058,0.0,82.59850285769339]",1070.808480778403,1070.808480778403,0.0,0.0,1071.4628953998608,0.6544146214578177,0.061114067847324476,True,0,6.821210263296962e-13,0.0,0.0,numerically_zero,above_policy_margin,True
0.0,M1,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423057,0.0,82.5985028576947]",911.5332829583576,911.5332829583576,0.0,0.0,911.5332829583566,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M1,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423057,0.0,82.5985028576947]",911.50798730204,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,True,0,1.0231815394945443e-12,6.051999155716657e-14,1.1368683772161601e-08,numerically_zero,numerically_zero,True
0.0,M1,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423057,0.0,82.5985028576947]",1070.8004545356116,1070.8004545356116,0.0,0.0,1071.431169575304,0.6307150396924044,0.05890126746032575,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M1,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423057,0.0,82.5985028576947]",1070.786340172655,1070.786340172655,0.0,0.0,1071.4216284460158,0.6352882733608567,0.059329135003573355,True,0,0.0,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M1,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423057,0.0,82.5985028576947]",1070.808480778403,1070.808480778403,0.0,0.0,1071.46289539986,0.6544146214569082,0.061114067847239543,True,0,6.821210263296962e-13,0.0,0.0,numerically_zero,above_policy_margin,True
0.0,M2,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.98202567760256]",911.5332829583576,911.5332829583576,0.0,0.0,912.4666005018711,0.9333175435134535,0.10238984806834432,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M2,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.98202567760256]",911.50798730204,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,912.4372655414118,0.9292782393717971,0.10194954430650191,True,0,1.0231815394945443e-12,6.051999155716657e-14,1.1368683772161601e-08,numerically_zero,below_policy_margin,True
0.0,M2,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.98202567760256]",1070.8004545356116,1070.8004545356116,0.0,0.0,1070.8004545356116,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M2,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.98202567760256]",1070.786340172655,1070.786340172655,0.0,0.0,1070.7863401726545,0.0,0.0,True,0,0.0,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M2,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.98202567760256]",1070.808480778403,1070.808480778403,0.0,0.0,1070.8084807784026,0.0,0.0,True,0,6.821210263296962e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M3,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760364]",911.5332829583576,911.5332829583576,0.0,0.0,912.4666005018718,0.9333175435141357,0.10238984806841915,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M3,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760364]",911.50798730204,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,912.4372655414124,0.9292782393724792,0.10194954430657675,True,0,1.0231815394945443e-12,6.051999155716657e-14,1.1368683772161601e-08,numerically_zero,below_policy_margin,True
0.0,M3,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760364]",1070.8004545356116,1070.8004545356116,0.0,0.0,1070.8004545356116,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M3,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760364]",1070.786340172655,1070.786340172655,0.0,0.0,1070.786340172655,0.0,0.0,True,0,0.0,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M3,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760364]",1070.808480778403,1070.808480778403,0.0,0.0,1070.808480778403,0.0,0.0,True,0,6.821210263296962e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.0,M4,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",911.5332829583576,911.5332829583576,0.0,0.0,912.4666005018719,0.9333175435142493,0.10238984806843163,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.0,M4,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",911.50798730204,911.5079873020401,1.1368683772161603e-13,1.247239073111319e-14,912.4372655414124,0.9292782393724792,0.10194954430657675,True,0,1.0231815394945443e-12,6.051999155716657e-14,1.1368683772161601e-08,numerically_zero,below_policy_margin,True
0.0,M4,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",1070.8004545356116,1070.8004545356116,0.0,0.0,1070.8004545356116,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
