instance_id,scenario_id,n,pair_feasible,objective_for_reporting_nils,objective_for_reporting_feasibility_aware_alns,objective_diff_nils_minus_alns,nils_improvement_vs_alns_pct,cpu_time_seconds_nils,cpu_time_seconds_feasibility_aware_alns,winner
S0001_R01,S0001,15,True,53.03779646544466,46.70221299137072,6.335583474073935,-13.565917048180513,0.3790974617004394,6.008115768432617,alns
S0001_R02,S0001,15,True,56.1441439138403,54.8605950804564,1.2835488333839038,-2.339655323646237,0.3269202709197998,8.128567218780518,alns
S0001_R03,S0001,15,True,110.63492575460452,138.51189987410237,-27.876974119497845,20.12604992411198,0.4337894916534424,7.666522979736328,nils
S0001_R04,S0001,15,True,57.61776809891522,47.93389622101652,9.683871877898703,-20.20255527163433,0.4482090473175049,7.172651529312134,alns
S0001_R05,S0001,15,True,120.68266230599144,768.0699736451174,-647.387311339126,84.28754326467757,0.9061577320098876,6.959628820419312,nils
S0001_R06,S0001,15,True,51.94468889233459,52.58128662325035,-0.63659773091576,1.2106925710605754,0.4188220500946045,6.141798257827759,nils
S0001_R07,S0001,15,True,84.80818324004568,58.239930528297066,26.568252711748613,-45.61862019879966,0.4054708480834961,6.508563041687012,alns
S0001_R08,S0001,15,True,127.12462838406373,364.6330978494311,-237.5084694653674,65.13628929084281,0.7317497730255127,6.105522871017456,nils
S0001_R09,S0001,15,True,64.9874093857662,527.0432090560558,-462.0557996702896,87.66943425717223,0.3638031482696533,7.476306915283203,nils
S0001_R10,S0001,15,True,117.46324412447456,263.09679786311284,-145.63355373863828,55.35360176234842,0.3716058731079101,5.213138580322266,nils
S0002_R01,S0002,15,True,79.5340332503585,55.19722611918883,24.336807131169678,-44.09063433480981,0.3675611019134521,6.196138858795166,alns
S0002_R02,S0002,15,True,126.0112444808305,4174.214860747001,-4048.2036162661702,96.98119889165744,0.4452462196350097,4.956932544708252,nils
S0002_R03,S0002,15,True,129.5818202799879,5150.675378608322,-5021.0935583283335,97.48417807850666,0.6579334735870361,5.060342073440552,nils
S0002_R04,S0002,15,True,127.34704817617217,2735.41820466914,-2608.071156492968,95.34451266139851,0.3588345050811767,4.83027982711792,nils
S0002_R05,S0002,15,True,50.37734462428956,50.40531512581556,-0.027970501525999225,0.05549117480206738,0.4443845748901367,6.590772867202759,nils
S0002_R06,S0002,15,True,109.9629880183224,1325.812678414423,-1215.8496903961006,91.70599362876584,0.65860915184021,5.0033228397369385,nils
S0002_R07,S0002,15,True,51.48609360079755,52.11198512249175,-0.6258915216942,1.2010510062570283,0.3554728031158447,4.860843181610107,nils
S0002_R08,S0002,15,True,120.3040632275464,1437.489880239382,-1317.1858170118358,91.6309627718901,0.3136153221130371,4.80338978767395,nils
S0002_R09,S0002,15,True,53.95772742828159,53.29783531822356,0.6598921100580313,-1.2381217850932145,0.602820634841919,4.952904939651489,alns
S0002_R10,S0002,15,True,114.36294451497264,3011.101919636883,-2896.7389751219102,96.20195703874533,0.3369660377502441,4.696626901626587,nils
S0003_R01,S0003,15,True,149.68504909511205,249.02982658047404,-99.34477748536199,39.892722429880784,0.3245761394500732,6.272380113601685,nils
S0003_R02,S0003,15,True,163.7301870117479,160.6974190661904,3.032767945557481,-1.8872536741292032,0.312230110168457,9.017079830169678,alns
S0003_R03,S0003,15,True,184.735133865604,249.69652362826216,-64.96138976265814,26.01613703656122,0.4273631572723388,7.268167734146118,nils
S0003_R04,S0003,15,True,176.321153490268,166.93723569500895,9.383917795259038,-5.621225100673927,0.241999864578247,6.291417360305786,alns
S0003_R05,S0003,15,True,206.8633452659518,210.99449083036788,-4.131145564416073,1.9579400145273784,0.5054526329040527,6.149415731430054,nils
S0003_R06,S0003,15,True,110.10697172047657,110.10697172047657,0.0,0.0,0.332526683807373,6.438338041305542,tie
S0003_R07,S0003,15,True,141.73847650124225,149.30047795079275,-7.5620014495505075,5.064954615914111,0.5099010467529297,6.689680337905884,nils
S0003_R08,S0003,15,True,117.66212562607572,176.3789803812805,-58.71685475520479,33.29016565821839,0.3685152530670166,4.40389609336853,nils
S0003_R09,S0003,15,True,133.1840099242935,129.41641717915866,3.7675927451348343,-2.911217005736712,0.2667927742004394,6.0813069343566895,alns
S0003_R10,S0003,15,True,94.4517297227878,106.9941565896716,-12.542426866883801,11.722534451095951,0.2342164516448974,6.541982650756836,nils
S0004_R01,S0004,15,True,145.09472126792184,178.90983491596916,-33.815113648047316,18.900645492143955,0.3372516632080078,6.811702013015747,nils
S0004_R02,S0004,15,True,144.14123229716597,154.47090985194325,-10.329677554777277,6.687134532112248,0.3437743186950683,10.00633955001831,nils
S0004_R03,S0004,15,True,129.51866792428902,128.98104001270178,0.5376279115872364,-0.41682708678290387,0.2181084156036377,6.434334993362427,alns
S0004_R04,S0004,15,True,164.05260167805503,651.3876022687884,-487.33500059073344,74.81490266215408,0.3022692203521728,4.968854188919067,nils
S0004_R05,S0004,15,True,280.94736730688896,846.1265709709583,-565.1792036640693,66.79605901224771,0.2574260234832763,6.047274589538574,nils
S0004_R06,S0004,15,True,151.53376382031902,399.9310251178938,-248.39726129757477,62.110025403593255,0.3489613533020019,6.031199216842651,nils
S0004_R07,S0004,15,True,190.4617199405321,201.45064563288463,-10.988925692352524,5.4548972319395235,0.281412124633789,6.745355606079102,nils
S0004_R08,S0004,15,True,144.42221876104006,144.42221876104006,0.0,0.0,0.2106585502624511,6.311334848403931,tie
S0004_R09,S0004,15,True,138.3385652556197,584.0802820626009,-445.7417168069812,76.31514545105073,0.3375608921051025,6.857192993164063,nils
S0004_R10,S0004,15,True,105.75975832881564,800.9406168513124,-695.1808585224967,86.79555561252688,0.2818305492401123,5.643328666687012,nils
S0005_R01,S0005,15,True,163.67552262768675,4232.511862478565,-4068.8363398508777,96.13289866760496,0.2222537994384765,8.109488487243652,nils
S0005_R02,S0005,15,True,153.91188224849066,2340.8763636666117,-2186.964481418121,93.42503155495953,0.3503296375274658,7.14903450012207,nils
S0005_R03,S0005,15,True,160.77675865454702,3707.792287807313,-3547.0155291527662,95.66381430849715,0.2870645523071289,6.29032301902771,nils
S0005_R04,S0005,15,True,2497.107441353296,4267.321607879352,-1770.214166526056,41.48302680673194,0.1863784790039062,6.012902021408081,nils
S0005_R05,S0005,15,True,1984.569748927423,2138.157238643127,-153.58748971570412,7.183170953936513,0.2311861515045166,5.327642440795898,nils
S0005_R06,S0005,15,True,270.58369617509845,11837.040644584058,-11566.456948408959,97.71409337604241,0.2696132659912109,6.519538640975952,nils
S0005_R07,S0005,15,True,118.66495236114092,119.28758863667775,-0.6226362755368342,0.5219623287324883,0.1990637779235839,7.323081970214844,nils
S0005_R08,S0005,15,True,142.77615223986956,141.35707996937782,1.4190722704917391,-1.0038918961817496,0.3514144420623779,6.6916680335998535,alns
S0005_R09,S0005,15,True,114.88235699844014,109.48736033520538,5.394996663234764,-4.927506377647153,0.3662347793579101,5.687269687652588,alns
S0005_R10,S0005,15,True,3330.7348241267773,6073.178059351549,-2742.4432352247713,45.15664135685806,0.2870769500732422,8.40413761138916,nils
S0006_R01,S0006,15,True,150.7339340833405,160.19725157341696,-9.463317490076463,5.90729079127772,0.2642552852630615,6.395524024963379,nils
S0006_R02,S0006,15,True,154.21602104946405,150.00020913557682,4.215811913887222,-2.810537357369139,0.2495872974395752,6.58148193359375,alns
S0006_R03,S0006,15,True,117.80304351518096,112.67369093555646,5.129352579624495,-4.552395982624035,0.3385629653930664,6.341639041900635,alns
S0006_R04,S0006,15,True,144.72815534525495,154.71503516016116,-9.986879814906217,6.45501570326878,0.2670159339904785,5.888103246688843,nils
S0006_R05,S0006,15,True,155.49125018570393,273.1861154025674,-117.69486521686346,43.082301252180464,0.3681080341339111,5.094797134399414,nils
S0006_R06,S0006,15,True,131.52774261089803,132.31005759565454,-0.7823149847565105,0.5912740111921803,0.3709151744842529,6.551941156387329,nils
S0006_R07,S0006,15,True,124.65368663962718,118.28681515516,6.3668714844671825,-5.38257072533028,0.2788119316101074,6.654270887374878,alns
S0006_R08,S0006,15,True,153.7495726159017,150.94382243709546,2.8057501788062496,-1.8588042448544204,0.8932182788848877,6.697469711303711,alns
S0006_R09,S0006,15,True,144.25660376969,147.8556684074262,-3.5990646377362054,2.4341742704234655,0.3791029453277588,5.3340559005737305,nils
S0006_R10,S0006,15,True,131.8894440925127,131.8894440925127,0.0,0.0,0.261094331741333,8.654749870300293,tie
S0007_R01,S0007,15,True,136.56630469198728,10957.177073873076,-10820.610769181088,98.75363605268711,0.4524474143981933,6.173966407775879,nils
S0007_R02,S0007,15,True,173.11822971416262,5747.109292144813,-5573.99106243065,96.9877338168811,0.2662017345428467,6.450715780258179,nils
S0007_R03,S0007,15,True,133.11213855755642,130.63516423345345,2.4769743241029687,-1.8961007464088735,0.2663455009460449,6.636033296585083,alns
S0007_R04,S0007,15,True,161.88734336940064,596.7286486135741,-434.8413052441735,72.87086119536475,0.3320240974426269,5.240938663482666,nils
S0007_R05,S0007,15,True,159.19948876355738,167.3897958184583,-8.190307054900927,4.892954803400131,0.2357373237609863,7.082008123397827,nils
S0007_R06,S0007,15,True,971.1415675461238,8329.760624372731,-7358.619056826607,88.3413028136177,0.2708394527435303,5.670328855514526,nils
S0007_R07,S0007,15,True,105.26531090278613,104.8659929896266,0.39931791315952125,-0.3807887588486593,0.2818949222564697,6.08017897605896,alns
S0007_R08,S0007,15,True,133.8023827390843,2384.978549548642,-2251.176166809558,94.38978674401888,0.4875345230102539,6.9119274616241455,nils
S0007_R09,S0007,15,True,139.42091098453105,6552.87282078321,-6413.451909798679,97.87236964919659,0.2651400566101074,8.852959394454956,nils
S0007_R10,S0007,15,True,98.74760343977916,99.92491943209409,-1.1773159923149308,1.178200592010483,0.2242927551269531,9.457401752471924,nils
S0008_R01,S0008,15,True,111.2819180257678,119.95591235174014,-8.673994325972345,7.230985247761749,0.2183320522308349,6.645100831985474,nils
S0008_R02,S0008,15,True,156.96087051298204,151.98483330925288,4.976037203729163,-3.2740353727296685,0.2353951930999755,6.820018529891968,alns
S0008_R03,S0008,15,True,123.1138138757087,135.70417069168315,-12.590356815974445,9.277796512665375,0.2005689144134521,5.779131174087524,nils
S0008_R04,S0008,15,True,118.20683449184484,187.41363043685877,-69.20679594501392,36.927301276696774,0.180011510848999,6.371030807495117,nils
S0008_R05,S0008,15,True,160.0871327180554,162.23630673833395,-2.149174020278565,1.3247182850044183,0.1848030090332031,6.445875644683838,nils
S0008_R06,S0008,15,True,168.10453222814309,172.5585230895689,-4.453990861425808,2.5811479964475024,0.2230846881866455,6.109664440155029,nils
S0008_R07,S0008,15,True,155.29161725033555,152.19659298963384,3.095024260701706,-2.0335700030502712,0.2419817447662353,7.206935167312622,alns
S0008_R08,S0008,15,True,135.26452993974243,133.17102093853612,2.0935090012063142,-1.5720454693912382,0.2331593036651611,8.463826417922974,alns
S0008_R09,S0008,15,True,116.0600456007874,115.03610694913,1.023938651657403,-0.8901019678197193,0.2790501117706299,5.590473413467407,alns
S0008_R10,S0008,15,True,203.9761690284268,201.82135778332253,2.15481124510427,-1.0676824637250222,0.2630703449249267,7.490752220153809,alns
S0009_R01,S0009,15,True,122.2165105464328,54.45422280581951,67.76228774061329,-124.43899526809801,0.2543461322784424,5.762856721878052,alns
S0009_R02,S0009,15,True,54.04078724906575,53.58380899813989,0.4569782509258644,-0.8528289785105199,0.2687375545501709,5.778296947479248,alns
S0009_R03,S0009,15,True,55.98441701584884,56.0141959831247,-0.029778967275859713,0.05316325041036235,0.2664215564727783,5.727873802185059,nils
S0009_R04,S0009,15,True,84.79199057013597,495.71053888983846,-410.9185483197025,82.89485820494545,0.3401665687561035,5.639732122421265,nils
S0009_R05,S0009,15,True,50.146761488164536,50.16246184776347,-0.015700359598930902,0.03129902126131578,0.2334370613098144,5.590473651885986,nils
S0009_R06,S0009,15,True,50.37982166507402,51.24787177260786,-0.8680501075338398,1.69382664588584,0.1871716976165771,5.120078086853027,nils
S0009_R07,S0009,15,True,49.86236405473265,52.36534718983952,-2.5029831351068665,4.779846347686437,0.1797564029693603,5.269870758056641,nils
S0009_R08,S0009,15,True,52.882890001603634,52.59058635468662,0.2923036469170128,-0.5558098267732361,0.2636523246765136,6.563498258590698,alns
S0009_R09,S0009,15,True,51.4501919554812,47.678803139044255,3.7713888164369465,-7.909990536965785,0.1603820323944091,5.08295750617981,alns
S0009_R10,S0009,15,True,51.22884636216674,51.68777581314471,-0.4589294509779691,0.8878877911810994,0.2925562858581543,5.11863374710083,nils
S0010_R01,S0010,15,True,145.80669768803904,1922.4215609487744,-1776.6148632607353,92.41546700006428,0.1648283004760742,6.537502288818359,nils
S0010_R02,S0010,15,True,144.1177379301795,2151.4493254601903,-2007.331587530011,93.30136498105281,0.1723208427429199,5.503673076629639,nils
S0010_R03,S0010,15,True,140.44050427186997,137.97415941768833,2.466344854181642,-1.7875411342172352,0.2316396236419677,6.312723398208618,alns
S0010_R04,S0010,15,True,130.78287674517105,133.66234180540985,-2.8794650602388003,2.1542829650783935,0.1628994941711425,6.169816970825195,nils
S0010_R05,S0010,15,True,174.84286961147097,3314.40225743998,-3139.559387828509,94.72475408743783,0.169318675994873,5.8203864097595215,nils
S0010_R06,S0010,15,True,126.82619028953752,1805.9463584080931,-1679.1201681185557,92.97730025595376,0.212162971496582,8.237478256225586,nils
S0010_R07,S0010,15,True,138.05767699792506,139.19903091712243,-1.1413539191973712,0.8199438686300343,0.1643953323364257,10.018662691116331,nils
S0010_R08,S0010,15,True,977.6736722600627,1874.694622127616,-897.0209498675532,47.84891039211028,0.3340282440185547,5.929090738296509,nils
S0010_R09,S0010,15,True,125.33855081699184,127.31411431957414,-1.975563502582304,1.5517238706333814,0.2202053070068359,6.497394800186157,nils
S0010_R10,S0010,15,True,133.03634344567607,146.02511993367307,-12.988776487997,8.894891847304567,0.2587418556213379,6.164072751998901,nils
S0011_R01,S0011,15,True,91.53332648981906,472.3662315871936,-380.8329050973746,80.62238145553744,0.2060155868530273,4.792848825454712,nils
S0011_R02,S0011,15,True,49.73617519271594,50.72994375450983,-0.9937685617938925,1.958938820438861,0.2705662250518799,7.230738401412964,nils
S0011_R03,S0011,15,True,53.13772275951679,51.8315656188913,1.3061571406254942,-2.5200032548301663,0.287454605102539,6.1431615352630615,alns
S0011_R04,S0011,15,True,86.39606889989915,77.8265684312998,8.569500468599344,-11.01102186737674,0.2665927410125732,6.120544910430908,alns
S0011_R05,S0011,15,True,56.53813559880233,58.26948075598055,-1.7313451571782252,2.9712726709007558,0.2711889743804931,5.689203500747681,nils
S0011_R06,S0011,15,True,123.40147305695729,1274.9119184465812,-1151.510445389624,90.32078441879217,0.2167387008666992,5.061380386352539,nils
S0011_R07,S0011,15,True,50.393084027483,50.393084027483,0.0,0.0,0.2188253402709961,5.229464054107666,tie
S0011_R08,S0011,15,True,117.65082662984656,203.78844834987729,-86.13762172003072,42.26815720788258,0.3168497085571289,5.828874349594116,nils
S0011_R09,S0011,15,True,79.09551003359215,114.236749815303,-35.14123978171085,30.761764352125656,0.2757115364074707,4.873876571655273,nils
S0011_R10,S0011,15,True,58.84713920422532,58.99863448421021,-0.15149527998488566,0.25677760393832555,0.1914288997650146,4.806223392486572,nils
