instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label
S0002_R01,202027,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,55.19722611918883,46.11351251820069,9.08371360098813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.4049952932296,57.64189064775087,30.2790453366271,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8695401390223743,0.8695401390223743,0,0,0,6.196138858795166,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R02,202028,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,4174.214860747001,51.00868457266631,9.143791632248035,0.0,4114.062384542087,4114.062384542087,20.57031192271043,0.0,0.0,20.57031192271043,4114.062384542086,0.0,0.0,0.0,121.72751399944453,63.76085571583287,30.479305440826785,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8930976341475181,0.8930976341475181,0,0,0,4.956932544708252,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R03,202029,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,5150.675378608322,48.87576155929804,9.03931263958244,0.0,5092.760304409441,5092.760304409441,25.46380152204721,0.0,0.0,25.46380152204721,5092.760304409441,0.0,0.0,0.0,116.1673869238012,61.09470194912254,30.131042131941463,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.895262150051808,0.895262150051808,0,0,0,5.060342073440552,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R04,202030,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,2735.41820466914,49.89882447995677,9.18589911696198,0.0,2676.3334810722213,2676.3334810722213,13.381667405361108,0.0,0.0,13.381667405361108,2676.3334810722213,0.0,0.0,0.0,118.01039603955584,62.37353059994596,30.6196637232066,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8973939704044098,0.8973939704044098,0,0,0,4.83027982711792,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R05,202031,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,50.40531512581556,41.56492942068539,8.840385705130174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.42737218686544,51.956161775856735,29.46795235043392,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.8598410985573857,0.8598410985573857,0,0,0,6.590772867202759,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R06,202032,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,1325.812678414423,44.94685553883974,9.229911181108864,0.0,1271.6359116944743,1271.6359116944743,6.358179558472372,0.0,0.0,6.358179558472372,1271.6359116944743,0.0,0.0,0.0,105.92348088763232,56.18356942354969,30.766370603696217,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.8832772833779851,0.8832772833779851,0,0,0,5.0033228397369385,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R07,202033,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,52.11198512249175,43.19321274105201,8.91877238143974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.9012805377941,53.991515926315,29.729241271465803,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.869319254829543,0.869319254829543,0,0,0,4.860843181610107,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R08,202034,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,1437.489880239382,46.18037232292296,0.0,0.0,1391.309507916459,1391.309507916459,6.956547539582296,0.0,0.0,6.956547539582296,1391.309507916459,0.0,0.0,0.0,110.61583293586132,57.7254654036537,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,4.80338978767395,40.0,1.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R09,202035,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,53.29783531822356,44.13421075509011,9.163624563133446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.900977313218,55.16776344386263,30.545415210444823,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.889681788358338,0.889681788358338,0,0,0,4.952904939651489,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0002_R10,202036,feasibility_aware_alns,S0002,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,medium,strict,0.1,200.0,40.0,1.0,peripheral,3011.101919636883,46.74352026380015,8.973725828998278,0.0,2955.3846735440843,2955.3846735440843,14.77692336772042,0.0,0.0,14.77692336772042,2955.3846735440843,0.0,0.0,0.0,113.26114911905084,58.42940032975018,29.91241942999426,14,1,0.0666666666666666,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.8546405551426931,0.8546405551426931,0,0,0,4.696626901626587,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R01,302027,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,249.02982658047404,137.0283735553321,11.179459942602728,0.0,100.8219930825392,100.8219930825392,100.8219930825392,0.0,0.0,100.8219930825392,100.8219930825392,0.0,0.0,0.0,156.94312946998494,171.28546694416514,37.26486647534243,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.7329733210584165,0.7329733210584165,0,0,0,6.272380113601685,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R02,302028,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,160.6974190661904,134.92737281996702,0.0,0.0,25.77004624622338,25.77004624622338,25.77004624622338,0.0,0.0,25.77004624622338,25.77004624622338,0.0,0.0,0.0,136.22281102271864,168.65921602495874,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,9.017079830169678,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R03,302029,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,249.69652362826216,147.59137502317773,14.086951091834496,0.0,88.01819751324996,88.01819751324996,88.01819751324997,0.0,0.0,88.01819751324997,88.01819751324997,0.0,0.0,0.0,165.33476187402243,184.48921877897212,46.95650363944833,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.8864802336317359,0.8864802336317359,0,0,0,7.268167734146118,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R04,302030,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,166.93723569500895,108.76975173911116,11.138420492836632,0.0,47.02906346306114,47.02906346306114,47.02906346306114,0.0,0.0,47.02906346306114,47.02906346306114,0.0,0.0,0.0,170.2635372282595,135.96218967388893,37.12806830945544,12,3,0.2,1,1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.6709730730273334,0.6709730730273334,0,0,0,6.291417360305786,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R05,302031,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,210.99449083036788,125.3680675601196,12.687905684784129,0.0,72.93851758546415,72.93851758546415,72.93851758546415,0.0,0.0,72.93851758546415,72.93851758546415,0.0,0.0,0.0,141.70764829369574,156.71008445014945,42.29301894928044,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8468839761511388,0.8468839761511388,0,0,0,6.149415731430054,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R06,302032,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,110.10697172047657,96.4565517699346,13.650419950541965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37560166961084,120.57068971241824,45.50139983513988,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8794304661412982,0.8794304661412982,0,0,0,6.438338041305542,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0003_R07,302033,feasibility_aware_alns,S0003,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.10,15,0.2666666666666666,0.25,1,3,low,2.0,uniform,short,flat,0.1,1.0,1.0,1.0,peripheral,149.30047795079275,149.30047795079275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.71404553646917,186.62559743849093,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.689680337905884,40.0,1.0,40.0,True,feasible,benchmark_feasibility_aware_alns
