battery_slack_ratio,n_runs,feasible_rate,coverage_ratio,avg_high_tard_min,avg_medium_tard_min,avg_low_tard_min,avg_total_tard_min,avg_makespan,avg_objective,avg_cpu_s
0.05,720,0.6847222222222222,1.0,1239.8691639525337,1323.093314687092,1019.9804073500621,3582.942885989688,293.9759648519067,8482.953945442267,9.113394229941898
0.1,720,0.6791666666666667,1.0,1245.3743594071973,1326.0807425848418,1022.1396639781225,3593.5947659701615,294.78142595418365,8750.134080425318,8.657057298223178
0.15,720,0.675,1.0,1250.3321993963639,1326.6758632605838,1022.1396639781225,3599.1477266350703,295.1879906181381,9185.06289527263,8.533608244525063
0.2,720,0.6722222222222223,1.0,1253.5916919185056,1328.2629586445084,1022.1396639781225,3603.9943145411366,295.709399437559,9428.921489374585,8.689141379131211
