n,seed,exact_status,exact_objective,exact_best_bound,exact_solver_gap,exact_cpu_s,default_nils_objective,default_gap_pct,default_nils_restarts,default_nils_cpu_s,multistart_nils_objective,multistart_gap_pct,gap_reduction_pct_points,multistart_restarts,multistart_feasible_starts,multistart_total_runtime_approx_s,multistart_drone_served_customers
3,5027,2,11.0776,11.0776,0.0,7.36,11.3382,2.35,8,0.17,11.33815818857164,2.3521176840799423,-0.0021176840799421726,50,50,27.603888511657715,3
4,6027,2,11.3196,11.3196,0.0,11.68,11.3196,0.0,8,0.18,11.319586162854002,-0.00012224059152175857,0.00012224059152175857,50,50,27.432548999786377,4
5,7027,2,9.7519,9.7519,0.0,27.72,10.2396,5.0,8,0.37,10.239552333741106,5.000587923800557,-0.0005879238005572773,50,50,30.362510681152344,5
6,8027,2,10.3102,10.3102,0.0,91.71,10.6944,3.73,8,0.23,10.694370517260792,3.7261209022210204,0.0038790977789795456,50,50,34.05038118362427,6
7,9027,2,10.2202,10.2202,0.0,115.12,11.4663,12.19,8,0.32,11.46625265425416,12.192057437762069,-0.0020574377620690143,50,50,43.42606067657471,7
8,10027,2,11.1326,11.1326,0.0,113.94,12.8865,15.75,8,0.28,12.74886984274702,14.518350095638212,1.2316499043617881,50,50,33.18910598754883,8
9,11027,2,10.6977,10.6977,0.0,114.91,11.9214,11.44,8,0.33,11.921405921525054,11.438962781953638,0.0010372180463615877,50,50,42.310285568237305,9
