method,paired_test,test_statistic,p_value,effect_size,effect_size_name,n_pairs,mean_improvement_pct,median_improvement_pct,ci_low_pct,ci_high_pct,min_improvement_pct,max_improvement_pct
nils,wilcoxon,0.0,0.0001220703125,1.0,rank_biserial,14,77.75128435322934,87.13096183317069,62.13100750383165,90.59262640416657,3.581142154241172,99.78798077877944
nils_no_perturbation,wilcoxon,0.0,0.0001220703125,1.0,rank_biserial,14,75.70747665922117,83.73930845871104,60.888085529817076,88.45400458408108,3.581142154241172,99.78798077877944
no_unpairing,wilcoxon,0.0,0.0014737808438751421,1.0,rank_biserial,14,73.9593259937467,81.01300701668563,58.36940644667693,86.58629833446271,0.0,99.4231000980479
paired_baseline,wilcoxon,0.0,0.0014737808438751421,1.0,rank_biserial,14,72.25463205439848,80.08446945991659,56.66446865626836,84.72437776179498,0.0,99.59024726378345
nils_no_local_search,wilcoxon,0.0,0.0014737808438751421,1.0,rank_biserial,14,60.83761600673548,68.6638819956002,46.27825048448275,74.89218407959,0.0,97.03345494550277
simple_drone,wilcoxon,0.0,0.17971249487899976,-1.0,rank_biserial,14,-0.028687060046673176,0.0,-0.08557471847067696,0.0,-0.3948083772826285,0.0
