method_name,n,number_of_drones,number_of_trucks,n_runs,avg_objective,avg_improvement_pct,avg_drone_share,avg_cpu_s,feasibility_rate,drone_to_truck_ratio
nils,15,1,3,4,826.2978621609091,56.6091328073889,0.25,0.15898853540420532,1.0,0.3333333333333333
nils,50,1,3,4,11539.908222623772,79.29658256493076,0.095,3.699192523956299,1.0,0.3333333333333333
nils,50,2,3,6,8532.540166601071,90.81585324265534,0.17,4.029003302256267,1.0,0.6666666666666666
