method_name,n_runs,feasible_runs,feasibility_rate,average_objective,std_dev,avg_improvement_vs_truck_only,avg_makespan,avg_cpu_time,avg_drone_service_share,reporting_included_runs,avg_objective_feasible_only,avg_objective_infeasible_only,reporting_inclusion_rate
nils,14,14,1.0,7190.004667053225,10893.362244982836,77.75128435322934,182.27267590880754,2.829053146498544,0.17142857142857143,14,7190.004667053225,,1.0
nils_no_perturbation,14,14,1.0,8110.930199633951,12111.324410217305,75.70747665922117,184.96023028172004,1.2346562658037459,0.1619047619047619,14,8110.930199633951,,1.0
paired_baseline,14,14,1.0,8591.309397062001,11233.604483451405,72.25463205439848,187.2245657762573,9.750197887420654,0.12238095238095238,14,8591.309397062001,,1.0
no_unpairing,14,14,1.0,8932.007925020895,12243.898552378801,73.9593259937467,186.75983126321944,13.108971323285784,0.12047619047619047,14,8932.007925020895,,1.0
nils_no_local_search,14,14,1.0,23272.977761403024,32877.887873506304,60.83761600673548,294.09218621989857,1.1971439804349626,0.18619047619047618,14,23272.977761403024,,1.0
truck_only,14,14,1.0,52163.981852364246,53731.41085424899,,317.4620660837482,0.07615734849657331,0.0,14,52163.981852364246,,1.0
simple_drone,14,14,1.0,52202.03981741632,53792.96953167594,-0.028687060046673176,317.74807299943325,2.0501574959073747,0.0,14,52202.03981741632,,1.0
