n,method_name,n_runs,feasible_runs,feasibility_rate,avg_cpu_time,objective,reported_runs,improvement_vs_truck_only,reporting_inclusion_rate
15,nils,230,220,0.9565217391304348,0.16471792200337285,205.7285626792139,220,74.22722194236471,0.9565217391304348
15,truck_only,230,230,1.0,0.0043372558510821795,6058.67708616782,230,,1.0
50,nils,210,196,0.9333333333333333,2.297000166348049,14235.48525683102,196,87.35575363806448,0.9333333333333333
50,truck_only,210,200,0.9523809523809523,0.02436127889724005,123313.17876281848,200,,0.9523809523809523
75,nils,90,64,0.7111111111111111,6.9387646251254615,22331.45811807986,64,83.41532498971766,0.7111111111111111
75,truck_only,90,52,0.5777777777777777,0.05968697600894504,115308.14943227725,52,,0.5777777777777777
100,nils,190,4,0.021052631578947368,26.902304314312182,74742.32179297038,4,78.93471515075235,0.021052631578947368
100,truck_only,190,1,0.005263157894736842,0.10958302773927388,107038.55891637842,1,,0.005263157894736842
