launch_retrieval_time_class,method_name,n_runs,waiting_cost,avg_truck_waiting_time,avg_drone_waiting_time,avg_synchronization_delay,avg_improvement,avg_launches,feasibility_rate,avg_total_waiting_time
long,nils,117,0.0,0.0,0.0,0.0,75.23561713648034,1.4615384615384615,1.0,0.0
medium,nils,171,0.0,0.0,0.0,0.0,80.94084977039415,1.2456140350877194,1.0,0.0
short,nils,196,0.0,0.0,0.0,0.0,83.65978224614065,1.1734693877551021,1.0,0.0
