lambda_distance_scale,method,feasible,objective,improvement_vs_truck_only_pct,runtime_seconds,drone_served_customers,drone_served_high,drone_served_medium,drone_served_low,waiting_sync_cost,drone_service_share_pct
0.115,truck_only,True,922221.2443098351,,20.229019165039062,0,0,0,0,0.0,0.0
0.115,simple_drone,True,849658.846466846,7.868220157657817,20.277205228805542,6,3,1,2,0.0,7.5
0.115,paired_baseline,True,510708.4054301461,44.621921411890035,5.861804008483887,4,3,1,0,172.82680326892228,5.0
0.115,no_unpairing,True,500525.7853803992,45.72606210617292,35.66833734512329,8,4,2,2,42.29004097432003,10.0
0.115,nils,True,477588.2112028696,48.213271582104646,2.4656436443328857,8,3,1,4,0.0,10.0
0.115,nils_no_local_search,True,477588.2112028696,48.213271582104646,22.431467533111572,8,3,1,4,0.0,10.0
0.115,nils_no_perturbation,True,477588.2112028696,48.213271582104646,1.2594020366668701,8,3,1,4,0.0,10.0
