lambda_distance_scale,method,status,feasible,objective,runtime_seconds,truck_cost,drone_cost,waiting_sync_cost,priority_tardiness_cost,drone_served_customers,drone_service_share,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes,served_high,served_medium,served_low,drone_served_high,drone_served_medium,drone_served_low,improvement_vs_truck_only_pct
0.05,truck_only,baseline_truck_only_ortools,True,881564.3146934684,20.79662561416626,170.67441096752515,0.0,0.0,881393.6402825009,0,0.0,0,0,0,0,40,20,20,0,0,0,
0.05,simple_drone,baseline_simple_drone_ortools,True,758296.1426336135,20.748241901397705,165.4792889989624,18.57337551324377,0.0,758112.0899691014,9,0.1125,10,0,0,1,40,20,20,4,1,4,13.982890414832278
0.05,paired_baseline,baseline_paired,True,533738.1076397804,120.14501285552979,170.17113395085357,10.05558677367456,297.47265515448436,533260.4082639014,2,0.025,3,1,1,1,40,20,20,2,0,0,39.455567932628014
0.05,no_unpairing,baseline_no_unpairing,True,844333.8791415351,158.81489729881287,170.67441096752515,1.119,1.07450746548568,844161.0112231021,1,0.0125,2,1,1,1,40,20,20,1,0,0,4.223223981664771
0.05,nils,nils_complete,True,520086.79300396406,14.370725631713867,261.62671069822255,33.1910859453817,0.0,519791.9752073205,10,0.125,13,0,0,3,40,20,20,4,2,4,41.004100967403026
0.05,nils_no_local_search,ablation_no_local_search,True,541728.6821494893,4.788352727890015,276.55745013464315,33.1910859453817,0.0,541418.9336134093,10,0.125,13,0,0,3,40,20,20,4,2,4,38.54915936135011
0.05,nils_no_perturbation,ablation_no_perturbation,True,755043.7603440457,7.9828643798828125,165.4792889989624,33.1910859453817,0.0,754845.0899691014,10,0.125,13,0,0,3,40,20,20,4,2,4,14.35182348475795
