experiment_version,setting,parameters_json,rho,rank,objective,gap,gap_percent,y_json,z_json,w_json
noto-selected-sensitivity-separated-capability-marginal-v1,intensity_0.75,"{""intensity"": 0.75}",0.25,4,1227.268514051014,5.756003231512523,0.47121934327556403,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350384, 261.8896409288932, 96.98202567760296]"
noto-selected-sensitivity-separated-capability-marginal-v1,intensity_0.75,"{""intensity"": 0.75}",0.25,5,1227.4438723667558,5.931361547254255,0.48557517788130333,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333934941, 261.88964092890427, 96.98202567760165]"
noto-selected-sensitivity-separated-capability-marginal-v1,residual_0.20,"{""residual"": 0.2}",0.25,1,1259.0079600634128,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935148, 261.8896409288824, 96.98202567760285]"
noto-selected-sensitivity-separated-capability-marginal-v1,residual_0.20,"{""residual"": 0.2}",0.25,2,1261.8461420577491,2.83818199433631,0.22543002779691346,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.18572679423886, 260.16224752815856, 96.98202567760262]"
noto-selected-sensitivity-separated-capability-marginal-v1,residual_0.20,"{""residual"": 0.2}",0.25,3,1264.1123491354547,5.10438907204184,0.40542945191424096,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339349053, 261.88964092890603, 96.98202567760347]"
noto-selected-sensitivity-separated-capability-marginal-v1,residual_0.20,"{""residual"": 0.2}",0.25,4,1264.2886443622629,5.280684298850019,0.4194321613807839,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339349383, 261.8896409289036, 96.98202567760262]"
noto-selected-sensitivity-separated-capability-marginal-v1,residual_0.20,"{""residual"": 0.2}",0.25,5,1264.4753816337934,5.467421570380566,0.4342642575591915,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.18572679423414, 260.1622475281628, 96.98202567760308]"
noto-selected-sensitivity-separated-capability-marginal-v1,service_0.00,"{""service"": 0.0}",0.25,1,1222.7878752236816,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.3846850840237373, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339364447, 261.8896409287411, 96.98202567761514]"
noto-selected-sensitivity-separated-capability-marginal-v1,service_0.00,"{""service"": 0.0}",0.25,2,1225.8647972839558,3.076922060274228,0.2516317116500133,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373736, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333939741, 261.88964092836915, 96.98202567765742]"
noto-selected-sensitivity-separated-capability-marginal-v1,service_0.00,"{""service"": 0.0}",0.25,3,1228.4322853310002,5.644410107318663,0.4616017398999972,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.384685084023737, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339348485, 261.88964092891945, 96.98202567759569]"
noto-selected-sensitivity-separated-capability-marginal-v1,service_0.00,"{""service"": 0.0}",0.25,4,1228.6088172744344,5.820942050752819,0.47603858107343466,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.384685084023738, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350276, 261.8896409288969, 96.98202567760018]"
noto-selected-sensitivity-separated-capability-marginal-v1,service_0.00,"{""service"": 0.0}",0.25,5,1228.810116140474,6.022240916792498,0.492500869432555,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373763, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339341533, 261.8896409289931, 96.98202567759085]"
noto-selected-sensitivity-separated-capability-marginal-v1,weights_0.75,"{""weights"": 0.75}",0.25,1,1188.184728289615,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760346]"
noto-selected-sensitivity-separated-capability-marginal-v1,weights_0.75,"{""weights"": 0.75}",0.25,2,1190.020530757109,1.8358024674942044,0.15450480247602982,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 488.842141102836, 47.50583321956168, 96.98202567760235]"
noto-selected-sensitivity-separated-capability-marginal-v1,weights_0.75,"{""weights"": 0.75}",0.25,3,1190.928235374507,2.743507084892144,0.2308990361154839,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760367]"
noto-selected-sensitivity-separated-capability-marginal-v1,weights_0.75,"{""weights"": 0.75}",0.25,4,1191.0710018426516,2.8862735530367445,0.24291454723470718,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760303]"
noto-selected-sensitivity-separated-capability-marginal-v1,weights_0.75,"{""weights"": 0.75}",0.25,5,1191.236379037638,3.051650748023121,0.2568330222873616,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760315]"
