instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label
S0001_R01,102027,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,46.70221299137072,46.70221299137072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.81099735902328,58.377766239213386,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,5.862629890441895,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
S0001_R02,102028,feasibility_aware_alns,S0001,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.10,15,0.2666666666666666,0.25,1,3,low,1.25,clustered,short,moderate,0.1,20.0,5.0,1.0,peripheral,54.8605950804564,45.55841005586407,9.302185024592337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.45958432414582,56.94801256983009,31.007283415307786,13,2,0.1333333333333333,1,1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.8942434422434745,0.8942434422434745,0,0,0,5.2047295570373535,40.0,0.0,40.0,True,feasible,benchmark_feasibility_aware_alns
