endurance_level,eligible_share_target,n,number_of_drones,priority_weight_profile,battery_slack_ratio,n_runs,feasible_runs,feasibility_rate
high,0.75,100,3,moderate,0.1,20,0,0.0
medium,0.75,100,3,strict,0.1,20,0,0.0
high,0.25,100,3,base,0.1,10,0,0.0
high,0.25,100,3,strict,0.1,10,0,0.0
high,0.75,100,3,base,0.1,10,0,0.0
low,0.25,100,3,moderate,0.1,10,0,0.0
low,0.25,100,3,strict,0.1,10,0,0.0
low,0.75,100,3,base,0.1,10,0,0.0
low,0.75,100,3,flat,0.1,10,0,0.0
low,0.75,100,3,moderate,0.1,10,0,0.0
medium,0.25,100,3,base,0.1,10,0,0.0
medium,0.25,100,3,flat,0.1,10,0,0.0
medium,0.75,100,3,flat,0.1,10,0,0.0
high,0.25,100,3,flat,0.1,10,1,0.1
low,0.25,100,3,base,0.1,10,1,0.1
low,0.75,100,3,strict,0.1,10,1,0.1
medium,0.25,100,3,moderate,0.1,10,1,0.1
low,0.25,75,3,base,0.1,10,5,0.5
high,0.25,75,3,strict,0.1,10,6,0.6
medium,0.25,50,2,strict,0.1,10,6,0.6
medium,0.25,75,3,moderate,0.1,10,6,0.6
high,0.25,75,3,flat,0.1,10,7,0.7
low,0.25,75,3,moderate,0.1,10,7,0.7
low,0.75,75,3,base,0.1,10,8,0.8
low,0.75,50,1,strict,0.1,20,17,0.85
medium,0.75,75,3,flat,0.1,20,17,0.85
high,0.25,15,1,moderate,0.1,10,9,0.9
high,0.25,50,1,base,0.1,10,9,0.9
high,0.25,50,1,flat,0.1,10,9,0.9
high,0.75,50,2,strict,0.1,10,9,0.9
high,0.75,75,3,moderate,0.1,10,9,0.9
low,0.25,50,1,base,0.1,10,9,0.9
low,0.75,15,1,flat,0.1,10,9,0.9
low,0.75,15,1,strict,0.1,10,9,0.9
medium,0.75,15,1,flat,0.1,10,9,0.9
medium,0.75,15,1,strict,0.1,10,9,0.9
medium,0.75,50,1,moderate,0.1,10,9,0.9
high,0.75,15,1,strict,0.1,20,19,0.95
low,0.25,15,1,moderate,0.1,20,19,0.95
medium,0.75,15,1,base,0.1,20,19,0.95
high,0.25,15,1,base,0.1,20,20,1.0
medium,0.25,50,1,moderate,0.1,20,20,1.0
high,0.25,15,1,flat,0.1,10,10,1.0
high,0.25,50,1,strict,0.1,10,10,1.0
high,0.75,15,1,flat,0.1,10,10,1.0
high,0.75,15,1,moderate,0.1,10,10,1.0
high,0.75,50,1,flat,0.1,10,10,1.0
high,0.75,50,1,moderate,0.1,10,10,1.0
high,0.75,50,2,base,0.1,10,10,1.0
low,0.25,15,1,flat,0.1,10,10,1.0
low,0.25,15,1,strict,0.1,10,10,1.0
low,0.25,50,1,flat,0.1,10,10,1.0
low,0.25,50,2,flat,0.1,10,10,1.0
low,0.75,15,1,moderate,0.1,10,10,1.0
low,0.75,50,1,base,0.1,10,10,1.0
low,0.75,50,1,flat,0.1,10,10,1.0
low,0.75,50,2,base,0.1,10,10,1.0
medium,0.25,15,1,base,0.1,10,10,1.0
medium,0.25,15,1,flat,0.1,10,10,1.0
medium,0.25,15,1,strict,0.1,10,10,1.0
medium,0.25,50,1,strict,0.1,10,10,1.0
medium,0.75,15,1,moderate,0.1,10,10,1.0
medium,0.75,50,1,base,0.1,10,10,1.0
