experiment_version,scenario_id,scenario_type,density_cap,response_profile,response_knots_json,rho,objective,lower_bound,selected_y_json,selected_z_json,selected_w_json,second_y_json,second_objective,absolute_margin,margin_percent,tie_count,operationally_feasible_count,operationally_infeasible_count,state_count,critical_state_count,grid_scope,source,selected_y,diagnostic_objective,actual_tv_movement,max_density_ratio,density_cap_binding,widespread_nominal_mass,widespread_worst_case_mass,widespread_mass_shift,widespread_max_density_ratio,widespread_saturated_state_count,widespread_state_count
,frozen_base_k2p00,graded_response,2.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.1,1159.7102992138502,,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]",,,,,1,996,0,128,18,"full {0,.25,.5,.75,1}^5 intersect road budget",frozen_base_archive,"[0.25, 1.0, 1.0, 0.0, 0.0]",1159.7102992138502,0.10000000000000014,2.00000000000027,True,0.05000000000000001,0.10000000000000006,0.050000000000000044,2.0000000000000018,32,32
noto-joint-sensitivity-separated-capability-marginal-v1,graded_response__k2p00__higher_timely_credit,graded_response,2.0,higher_timely_credit,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.9], [120.0, 0.4], [180.0, 0.0]]",0.1,898.2580394737005,898.2580394737,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 234.46915617253435, 301.87881814986315, 96.9820256776026]","[0.25, 1.0, 1.0, 0.0, 0.0]",903.7946837734086,5.536644299708087,0.616375702348515,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.0, 1.0, 1.0, 0.0, 0.25]",898.2580394737005,0.1,2.0000000000002047,True,0.05,0.09999999999999998,0.04999999999999999,2.0000000000000004,32,32
noto-joint-sensitivity-separated-capability-marginal-v1,graded_response__k2p00__lower_timely_credit,graded_response,2.0,lower_timely_credit,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.7], [120.0, 0.2], [180.0, 0.0]]",0.1,1237.8382056764005,1237.8382056763999,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322396, 0.0, 96.98202567760403]","[0.0, 1.0, 1.0, 0.0, 0.25]",1239.9575601774145,2.1193545010139587,0.17121417736947198,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.25, 1.0, 1.0, 0.0, 0.0]",1237.8382056764005,0.10000000000000012,2.0000000000000204,True,0.05000000000000001,0.10000000000000003,0.05000000000000003,2.0000000000000018,32,32
,frozen_base_k2p00,graded_response,2.0,base,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.75], [120.0, 0.25], [180.0, 0.0]]",0.25,1222.787875223676,,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350605, 261.88964092889086, 96.98202567760313]",,,,,1,996,0,128,18,"full {0,.25,.5,.75,1}^5 intersect road budget",frozen_base_archive,"[0.0, 1.0, 1.0, 0.0, 0.25]",1222.787875223676,0.24999999999999994,2.0000000000002043,True,0.05,0.09999999999999998,0.04999999999999997,2.0000000000000004,32,32
noto-joint-sensitivity-separated-capability-marginal-v1,graded_response__k2p00__higher_timely_credit,graded_response,2.0,higher_timely_credit,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.9], [120.0, 0.4], [180.0, 0.0]]",0.25,960.3433015785649,960.3433015785643,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 262.21103490807405, 274.13693941432285, 96.98202567760312]","[0.25, 1.0, 1.0, 0.0, 0.0]",968.8003476206131,8.457046042048205,0.8806273785787688,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.0, 1.0, 1.0, 0.0, 0.25]",960.3433015785649,0.25,2.0000000000002043,True,0.05,0.09999999999999999,0.049999999999999975,2.0,32,32
noto-joint-sensitivity-separated-capability-marginal-v1,graded_response__k2p00__lower_timely_credit,graded_response,2.0,lower_timely_credit,"[[0.0, 1.0], [30.0, 1.0], [60.0, 0.7], [120.0, 0.2], [180.0, 0.0]]",0.25,1300.8269240067386,1300.8269240067382,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 273.70682091639736, 262.64115340600034, 96.98202567760231]","[0.25, 1.0, 1.0, 0.0, 0.0]",1302.700191845705,1.8732678389662851,0.14400592456960126,1,996,0,128,18,"full {0,0.25,0.50,0.75,1}^5 intersect road budget",new_sensitivity_run,"[0.0, 1.0, 1.0, 0.0, 0.25]",1300.8269240067386,0.25,2.0000000000002043,True,0.05,0.09999999999999998,0.04999999999999998,2.0,32,32
