number_of_drones,n_runs,number_of_trucks,avg_objective,avg_improvement_pct,drone_share,avg_cpu_s,feasibility_rate,high_priority_tardiness,drone_to_truck_ratio
1,374,3.0,6730.108694561285,78.73741069322767,0.17616755793226382,0.8622969031971406,1.0,67.26070422559519,0.33
2,42,3.0,7579.874818152054,94.68526379747111,0.23666666666666666,3.7568422896521434,1.0,77.0423479207289,0.67
3,68,3.0,25414.45009895577,83.32915941589138,0.17181372549019608,4.896097390090718,1.0,426.0248649735622,1.0
