endurance_level,speed_ratio,avg_objective,avg_improvement,avg_drone_share
high,1.25,6835.0896491868825,75.01098409431744,0.23535864978902954
high,2.0,6967.44876206578,92.1837695165451,0.28924242424242425
low,1.25,16189.48598160742,84.79920765616261,0.11040816326530613
low,2.0,9312.482457406504,77.50501232790715,0.20966666666666667
medium,1.25,4807.046807670371,80.58847374399508,0.18930232558139537
medium,2.0,5238.045806664598,80.85468600977491,0.26314814814814813
