method_name,n_runs,feasible_runs,feasibility_rate,average_objective,std_dev,avg_improvement_vs_truck_only,avg_makespan,avg_cpu_time,avg_drone_service_share,reporting_included_runs,avg_objective_feasible_only,avg_objective_infeasible_only,reporting_inclusion_rate
nils,720,493,0.6847222222222222,8482.953945442267,20555.79110842866,82.1027361779144,158.98114669828524,1.7640612304331564,0.21251521298174442,493,8482.953945442267,381330.68368600885,0.6847222222222222
truck_only,720,483,0.6708333333333333,66582.1818049215,118774.38249121697,,298.4713015897275,0.0172396259031434,0.0,483,66582.1818049215,384112.7868365632,0.6708333333333333
