rho,perturbed_corridor_index,corridor_id,cost_multiplier,objective,second_objective,margin_percent,selected_y_json,perturbed_budget_used,perturbed_budget_slack,feasible_tier_count,corridor_2_full,corridor_3_full
0.0,1,corr_kanazawa_nanao,0.8,1070.6661021722384,1070.808480778403,0.013298133365361717,"[0.25,1.0,1.0,0.25,0.0]",2.2826250996153856,0.014112893074794908,1152,True,True
0.0,1,corr_kanazawa_nanao,0.9,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.079056385353039,0.2176816073371417,1071,True,True
0.0,1,corr_kanazawa_nanao,1.1,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1536249901899907,0.14311300250018988,925,True,True
0.0,1,corr_kanazawa_nanao,1.2,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.190909292608467,0.10582870008171374,877,True,True
0.0,2,corr_nanao_anamizu,0.8,1070.3663052808156,1070.6661021722384,0.028008812491923163,"[0.25,1.0,1.0,0.0,0.25]",2.2502857452891853,0.046452247400995184,1099,True,True
0.0,2,corr_nanao_anamizu,0.9,1070.6661021722384,1070.808480778403,0.013298133365361717,"[0.25,1.0,1.0,0.25,0.0]",2.2653984875773734,0.03133950511280714,1044,True,True
0.0,2,corr_nanao_anamizu,1.1,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.208135904646479,0.08860208804370151,945,True,True
0.0,2,corr_nanao_anamizu,1.2,1072.6316510649256,1072.931420735763,0.0279471215062257,"[0.0,1.0,1.0,0.0,0.25]",2.2446235886042842,0.05211440408589629,904,True,True
0.0,3,corr_anamizu_wajima,0.8,1070.3663052808156,1070.6661021722384,0.028008812491923163,"[0.25,1.0,1.0,0.0,0.25]",2.2687670800716915,0.027970912618489052,1085,True,True
0.0,3,corr_anamizu_wajima,0.9,1070.6661021722384,1070.808480778403,0.013298133365361717,"[0.25,1.0,1.0,0.25,0.0]",2.274639154968626,0.02209883772155452,1036,True,True
0.0,3,corr_anamizu_wajima,1.1,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1988952372552264,0.09784275543495413,949,True,True
0.0,3,corr_anamizu_wajima,1.2,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.2814497867389374,0.015288205951243139,910,True,True
0.0,4,corr_anamizu_noto,0.8,1070.808480778403,1072.4916933637228,0.1571908156812693,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1100,True,True
0.0,4,corr_anamizu_noto,0.9,1070.808480778403,1072.4916933637228,0.1571908156812693,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1047,True,True
0.0,4,corr_anamizu_noto,1.1,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,945,True,True
0.0,4,corr_anamizu_noto,1.2,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,895,True,True
0.0,5,corr_anamizu_suzu,0.8,1070.808480778403,1072.2570363808268,0.13527681452156298,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1132,True,True
0.0,5,corr_anamizu_suzu,0.9,1070.808480778403,1072.4916933637228,0.1571908156812693,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1061,True,True
0.0,5,corr_anamizu_suzu,1.1,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,937,True,True
0.0,5,corr_anamizu_suzu,1.2,1070.808480778403,1072.6316510649256,0.17026109890325455,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,877,True,True
0.025,1,corr_kanazawa_nanao,0.8,1097.2490469789298,1097.391425585094,0.012975960795442904,"[0.25,1.0,1.0,0.25,0.0]",2.2826250996153856,0.014112893074794908,1152,True,True
0.025,1,corr_kanazawa_nanao,0.9,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.079056385353039,0.2176816073371417,1071,True,True
