n,seed,exact_status,exact_objective,exact_best_bound,exact_solver_gap,exact_cpu_s,default_nils_objective,default_gap_pct,old_multistart_nils_objective,old_multistart_gap_pct,corrected_nils_objective,corrected_gap_pct,paper_gap_pct,gap_reduction_vs_default_pct_points,gap_reduction_vs_old_multistart_pct_points,corrected_restarts,corrected_feasible_starts,corrected_total_runtime_approx_s,corrected_drone_served_customers,dominance_check_passed,audit_note
3,5027,2,11.077564199274734,11.077564199274734,0.0,7.3605101108551025,11.3382,2.35,11.33815818857164,2.3521176840799423,11.077564199274736,1.603562667248231e-14,1.603562667248231e-14,2.349999999999984,2.3521176840799263,50,50,21.23098373413086,3,True,OK
4,6027,2,11.319586162854002,11.319586162854002,0.0,11.684238195419312,11.3196,0.0,11.319586162854002,-0.0001222405915217,11.319586162854002,0.0,0.0,0.0,-0.0001222405915217,50,50,19.34678554534912,4,True,OK
5,7027,2,9.751888113711589,9.751888113711589,0.0,27.715863943099976,10.2396,5.0,10.239552333741106,5.000587923800557,9.853850825504727,1.045568925773199,1.045568925773199,3.954431074226801,3.9550189980273585,50,50,22.517502307891846,5,True,OK
6,8027,2,10.310181396180427,10.310181396180427,0.0,91.71175026893616,10.6944,3.73,10.694370517260792,3.726120902221021,10.310181396180427,0.0,0.0,3.73,3.726120902221021,50,50,24.057018756866455,6,True,OK
7,9027,2,10.220199640518192,10.220199640518192,0.0,115.1216492652893,11.4663,12.19,11.46625265425416,12.192057437762069,10.220199640518192,0.0,0.0,12.19,12.192057437762069,50,50,37.90273666381836,7,True,OK
8,10027,2,11.132643931661342,11.132643931661342,0.0,113.9367048740387,12.8865,15.75,12.74886984274702,14.518350095638212,11.132643931661342,0.0,0.0,15.75,14.518350095638212,50,50,58.39495658874512,8,True,OK
9,11027,2,10.697707235738845,10.697707235738845,0.0,114.91123676300047,11.9214,11.44,11.921405921525054,11.438962781953638,10.59905594135409,-0.9221723142243164,,12.362172314224315,12.361135096177954,50,50,49.37126636505127,9,False,audit required: NILS incumbent below reported exact objective
