n,seed,exact_status,exact_objective,exact_best_bound,exact_solver_gap,exact_cpu_s,old_default_nils_objective,old_default_gap_pct,old_multistart_nils_objective,old_multistart_gap_pct,corrected_nils_objective,corrected_gap_pct,gap_reduction_vs_old_default_pct_points,gap_reduction_vs_old_multistart_pct_points,corrected_restarts,corrected_feasible_starts,corrected_total_runtime_approx_s,corrected_drone_served_customers
3,5027,2,11.0776,11.0776,0.0,7.36,11.3382,2.35,11.33815818857164,2.3521176840799423,11.077564199274736,-0.0003231812420047963,2.350323181242005,2.352440865321947,50,50,21.23098373413086,3
4,6027,2,11.3196,11.3196,0.0,11.68,11.3196,0.0,11.319586162854002,-0.0001222405915217,11.319586162854002,-0.00012224059152175857,0.00012224059152175857,5.857402236852938e-17,50,50,19.34678554534912,4
5,7027,2,9.7519,9.7519,0.0,27.72,10.2396,5.0,10.239552333741106,5.000587923800557,9.853850825504727,1.0454457644636237,3.954554235536376,3.9551421593369334,50,50,22.517502307891846,5
6,8027,2,10.3102,10.3102,0.0,91.71,10.6944,3.73,10.694370517260792,3.726120902221021,10.310181396180427,-0.0001804409184386331,3.7301804409184385,3.7263013431394594,50,50,24.057018756866455,6
7,9027,2,10.2202,10.2202,0.0,115.12,11.4663,12.19,11.46625265425416,12.192057437762069,10.220199640518192,-3.517365686353543e-06,12.190003517365685,12.192060955127754,50,50,37.90273666381836,7
8,10027,2,11.1326,11.1326,0.0,113.94,12.8865,15.75,12.74886984274702,14.518350095638212,11.132643931661342,0.00039462175360333767,15.749605378246397,14.517955473884609,50,50,58.39495658874512,8
9,11027,2,10.6977,10.6977,0.0,114.91,11.9214,11.44,11.921405921525054,11.438962781953638,10.59905594135409,-0.9221052996990908,12.36210529969909,12.361068081652729,50,50,49.37126636505127,9
