method_name,n,1,2,3,objective_improvement_2_vs_1_pct,objective_improvement_3_vs_2_pct
nils,15,212.97251431657878,,,,
nils,50,16161.287823957391,7236.423904213136,,55.22371742253172,
nils,75,,,39808.06473868182,,
nils,100,,,147412.43811595725,,
