n,method_label,runs,avg_objective,sd_objective,avg_objective_per_customer,sd_objective_per_customer,avg_relative_objective_index,avg_improvement_pct,median_improvement_pct,avg_cpu_s,avg_drone_share
15,M1 Truck-only,230,6058.67708616782,9857.274165557279,403.91180574452136,657.1516110371517,100.0,,,0.007919604881949998,0.0
15,M2 Simple drone,230,6062.885702663101,9858.307115163521,404.1923801775401,657.2204743442346,100.28587739579613,-0.2858773957961385,0.0,0.11991222423055893,0.0
15,M3 Paired baseline,230,359.73119301723705,795.1634499678406,23.98207953448247,53.01089666452271,51.8140624524421,48.1859375475579,85.76208734517648,0.6238938010257223,0.2350724637681159
15,M4 No-unpairing,230,430.7953105088757,1119.4775022673336,28.71968736725838,74.63183348448892,36.895117460629734,63.104882539370266,83.81584363070263,0.6035609110541965,0.22115942028985505
15,M5 NILS,230,212.97251431657878,704.1495239108978,14.19816762110525,46.94330159405983,24.421748202710795,75.57825179728921,91.68173447271319,0.29630761250205656,0.248695652173913
15,M6 NILS-no-local-search,230,325.80626782539787,954.1073707994668,21.720417855026525,63.60715805329781,28.984334798916866,71.01566520108314,88.7529914322298,0.2607595298601233,0.2953623188405797
15,M7 NILS-no-perturbation,230,1098.670691997153,3294.771603255378,73.2447127998102,219.65144021702523,31.58738205436318,68.41261794563682,79.18612405083071,0.09918630330458926,0.23652173913043475
50,M1 Truck-only,210,123313.17876281848,134918.5046035998,2466.263575256369,2698.370092071995,100.0,,,0.04726075444902688,0.0
50,M2 Simple drone,210,123326.97145465527,134922.55866384332,2466.5394290931054,2698.451173276868,100.05336799361889,-0.05336799361889476,0.0,1.9911151545388357,0.0
50,M3 Paired baseline,210,18334.978716396014,26156.14473142196,366.69957432792035,523.122894628439,17.275478031964038,82.72452196803596,87.48519174989441,42.87987758772714,0.10914285714285715
50,M4 No-unpairing,210,19331.911971592686,25055.735640489325,386.6382394318537,501.11471280978657,14.624869672889893,85.37513032711011,86.88949818407949,46.393666361627126,0.10714285714285714
50,M5 NILS,210,14036.320224018284,21161.81997951686,280.72640448036566,423.2363995903369,11.349229304470692,88.65077069552932,91.36541546763979,3.7916718131019955,0.1584761904761905
50,M6 NILS-no-local-search,210,41421.395990138255,55187.63726135249,828.427919802765,1103.7527452270494,35.85425260479353,64.14574739520647,66.9696564953493,1.8436182873589653,0.16314285714285715
50,M7 NILS-no-perturbation,210,19425.277973079887,28394.695934389354,388.5055594615977,567.8939186877868,14.191011318080905,85.80898868191909,87.3604975964578,2.2360367161887034,0.15647619047619046
75,M1 Truck-only,90,115308.14943227725,173984.83829325528,1537.4419924303634,2319.79784391007,100.0,,,0.13991734451717797,0.0
75,M2 Simple drone,90,115324.24710011744,173989.45700731536,1537.6566280015659,2319.859426764205,100.05249246269393,-0.05249246269393377,0.0,3.8837129990259807,0.0
75,M3 Paired baseline,90,51598.911231924074,84886.20042553249,687.9854830923209,1131.8160056737668,20.180821376421,79.819178623579,79.77034358645105,123.3779935757319,0.1084444444444444
75,M4 No-unpairing,90,63391.89120972455,105386.41678558386,845.2252161296606,1405.1522238077848,20.99796469049758,79.00203530950242,78.30454943781628,177.20547953181796,0.06385185185185181
75,M5 NILS,90,39808.064738681824,61671.94586548883,530.7741965157577,822.2926115398511,15.447913546444434,84.55208645355557,86.15464096682885,10.708729526731704,0.1875555555555555
75,M6 NILS-no-local-search,90,70160.68602268375,99027.1475769014,935.4758136357832,1320.3619676920189,47.57168308671287,52.42831691328713,48.27124311473646,6.162159525023567,0.1865185185185185
75,M7 NILS-no-perturbation,90,51900.447276885665,80726.11080892083,692.0059636918088,1076.3481441189442,15.907409072701899,84.0925909272981,86.15464096682885,7.043241779009501,0.18948148148148145
100,M1 Truck-only,190,107038.55891637842,,1070.385589163784,,100.0,,,0.3544260163056223,0.0
100,M2 Simple drone,190,107038.55891637842,,1070.385589163784,,100.0,0.0,0.0,4.134254818213614,0.0
100,M3 Paired baseline,190,255804.6117953097,242524.8508767387,2558.046117953097,2425.2485087673876,20.618922538516273,79.38107746148373,79.38107746148373,1479.8286121556634,0.03452631578947368
100,M4 No-unpairing,190,309103.0592660294,286004.17672021553,3091.030592660294,2860.041767202156,18.478860517128368,81.52113948287163,81.52113948287163,1842.3705838680266,0.009631578947368422
100,M5 NILS,190,147412.43811595725,151177.78452971875,1474.1243811595725,1511.7778452971875,16.244080001092318,83.75591999890767,83.75591999890767,35.00649718610864,0.16221052631578947
100,M6 NILS-no-local-search,190,150446.4016417926,150531.59911842892,1504.464016417926,1505.3159911842893,70.37763359671067,29.62236640328933,29.62236640328933,16.4095512653652,0.16336842105263158
100,M7 NILS-no-perturbation,190,178319.37798221305,185407.11634156585,1783.1937798221302,1854.0711634156573,16.244080001092318,83.75591999890767,83.75591999890767,25.49994102904671,0.15821052631578947
