method_name,truck_travel_cost,drone_travel_cost,waiting_sync_cost,priority_tardiness_cost,objective_reported,total_truck_waiting_time,total_drone_waiting_time,delayed_rendezvous_events,component_sum,truck_cost_share_pct,drone_cost_share_pct,waiting_cost_share_pct,priority_tardiness_share_pct,feasibility_rate
nils,174.10483262197997,26.15744246982884,0.0,47838.2099385886,48038.47221368041,0.0,0.0,0.0,48038.47221368041,0.36242791370954197,0.054451029069945554,0.0,99.58312105722051,1.0
nils_no_perturbation,132.3404304610114,25.801776473745818,0.0,59402.586550074,59560.72875700876,0.0,0.0,0.0,59560.72875700875,0.22219410880770724,0.04332011547241121,0.0,99.73448577571989,1.0
nils_no_local_search,229.22313085666062,26.795361254548208,0.0,60400.51852665407,60656.53701876528,0.0,0.0,0.0,60656.53701876528,0.3779034249610161,0.044175553982349076,0.0,99.57792102105664,1.0
truck_only,223.49450287034497,0.0,0.0,66358.68730205116,66582.1818049215,0.0,0.0,0.0,66582.1818049215,0.33566713617940513,0.0,0.0,99.66433286382059,0.6708333333333333
simple_drone,229.0818024370509,0.0,0.0,66362.54844738914,66591.6302498262,0.0,0.0,0.0,66591.6302498262,0.34400990271243403,0.0,0.0,99.65599009728756,0.6708333333333333
paired_baseline,164.65494494698825,15.251419113204795,123.92980640188617,79112.6387695645,79416.47494002659,12.434333551808969,110.832192341082,2.2152777777777777,79416.47494002657,0.20733096636602386,0.01920435164708872,0.1560505002211128,99.61741418176578,1.0
no_unpairing,150.41919277528888,11.67582008656727,78.93106286859879,95027.91268103663,95268.93875676708,5.787466847347132,73.14359602125165,1.4,95268.93875676708,0.1578890189585579,0.012255642016100365,0.08285078421007624,99.74700455481528,1.0
