method_name,n_runs,avg_objective,avg_improvement,avg_cpu_time,feasibility_rate
nils,720,48038.47221368041,81.97436121752831,11.776974936657481,1.0
paired_baseline,720,79416.47494002659,65.95786417273933,418.63850777645905,1.0
no_unpairing,720,95268.93875676708,74.0761408386215,522.0561014420456,1.0
nils_no_perturbation,720,59560.72875700876,77.33596379316499,8.293418216374185,1.0
nils_no_local_search,720,60656.53701876528,66.08415594448165,5.721588374839889,1.0
simple_drone,483,66591.6302498262,-0.16388200376185377,1.5530955816154401,1.0
