regime_class,method_name,n_runs,avg_objective,avg_improvement_pct,avg_drone_share,avg_cpu_s,feasibility_rate
favorable,nils,60,4383.996008016539,92.99255996076641,0.3748333333333333,11.963466477394103,1.0
favorable,no_unpairing,60,19141.69638673185,87.57809572445936,0.24766666666666665,657.3251772840817,1.0
favorable,paired_baseline,60,15488.037529985198,77.39399346347838,0.2833888888888889,588.0812806129455,1.0
harsh,nils,30,30691.70809951795,76.68892627715549,0.11033333333333334,12.322751140594482,1.0
harsh,no_unpairing,30,45152.41858820585,77.16017686855945,0.051111111111111114,233.73918964068096,1.0
harsh,paired_baseline,30,36148.301504394025,73.93005221821451,0.06344444444444444,146.53999311129252,1.0
neutral,nils,630,53022.077762513276,80.94935147724351,0.17838095238095236,11.733224494495088,1.0
neutral,no_unpairing,630,104905.65327622574,72.57376995760973,0.10246031746031746,522.9027090666787,1.0
neutral,paired_baseline,630,87565.28676172732,64.54727895825812,0.1180952380952381,415.4581729665635,1.0
