lambda,all_methods_feasible,best_method,best_objective,m5_objective,m5_improvement_pct,m5_rank_feasible,m5_minus_m3_objective,m5_minus_best_objective,m5_drone_share_pct
0.075,True,M3 Paired baseline,278240.72933023004,301710.226779356,33.53102431791652,3.0,23469.497449125978,23469.497449125978,12.5
0.1,True,M3 Paired baseline,454749.33,533987.51,24.01,4.0,79238.18,79238.18,11.25
0.115,True,M5 NILS,477588.2112028696,477588.2112028696,48.213271582104646,1.0,-33120.194227276486,0.0,10.0
0.12,True,M3 Paired baseline,490496.4228008367,536079.7868115231,2.9252931994355955,4.0,45583.36401068646,45583.36401068646,10.0
0.125,True,M5 NILS,440727.10183140304,440727.10183140304,28.85747333581182,1.0,-54599.962510258134,0.0,10.0
0.13,True,M6 NILS-no-local-search,412261.38813692535,412540.5998887809,9.756662305810966,2.0,-28840.029587458295,279.2117518555606,8.75
0.15,False,None - infeasible domain,,2102476.722124996,0.0,,,,0.0
0.2,False,None - infeasible domain,,2877446.962833328,0.0,,,,0.0
