instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0004_R09,S0004,15,True,577.7046422328,0.9415810108,True,136.0872558225,0.9825937748,True,True,True,441.6173864103,-324.5104648052,nils
S0004_R10,S0004,15,True,105.4184221934,1.4134867191,True,105.7597583288,1.4467601776,True,True,True,-0.3413361354,0.3227467052,nils_r
S0005_R01,S0005,15,True,163.6755226277,1.0732719898,True,163.6755226277,0.8948862553,True,True,True,0.0000000000,0.0000000000,tie
S0005_R02,S0005,15,True,2338.5033848534,1.0235531330,True,169.3230860601,0.4265928268,True,True,True,2169.1802987933,-1281.0895131119,nils
S0005_R03,S0005,15,True,160.7767586545,1.4829025269,True,160.7767586545,0.6585848331,True,True,True,0.0000000000,0.0000000000,tie
S0005_R04,S0005,15,True,4263.6394876567,1.2196247578,True,2494.7115706500,0.3908321857,True,True,True,1768.9279170067,-70.9071115803,nils
S0005_R05,S0005,15,True,1984.5697489274,0.9001200199,True,1984.5697489274,0.6389858723,True,True,True,0.0000000000,0.0000000000,tie
S0005_R06,S0005,15,True,270.5836961751,1.1267633438,True,270.5836961751,0.6387989521,True,True,True,0.0000000000,0.0000000000,tie
S0005_R07,S0005,15,True,2651.3906225486,0.9308619499,True,118.6649523611,0.5756125450,True,True,True,2532.7256701875,-2134.3502186563,nils
S0005_R08,S0005,15,True,142.7761522399,1.0836882591,True,142.7761522399,1.1123182774,True,True,True,0.0000000000,0.0000000000,tie
S0005_R09,S0005,15,True,114.8823569984,0.7966823578,True,114.8823569984,0.7142746449,True,True,True,0.0000000000,0.0000000000,tie
S0005_R10,S0005,15,True,3327.6537935020,1.2736399174,True,3330.7348241268,0.5123105049,True,True,True,-3.0810306248,0.0925030297,nils_r
S0006_R01,S0006,15,True,158.2834019742,1.0115532875,True,150.7339340833,0.7734508514,True,True,True,7.5494678909,-5.0084726686,nils
S0006_R02,S0006,15,True,150.0090227771,0.2476177216,True,150.0090227771,0.7420229912,True,True,True,0.0000000000,0.0000000000,tie
S0006_R03,S0006,15,True,112.6736909356,1.1103820801,True,117.8030435152,0.8330018520,True,True,True,-5.1293525796,4.3541766210,nils_r
S0006_R04,S0006,15,True,142.3370598331,1.6325578690,True,142.3370598331,0.6465051174,True,True,True,0.0000000000,0.0000000000,tie
S0006_R05,S0006,15,True,178.3952758321,2.0042326450,True,155.4912501857,0.7119667530,True,True,True,22.9040256464,-14.7301057899,nils
S0006_R06,S0006,15,True,131.5277426109,0.7921569347,True,131.5277426109,0.6501104832,True,True,True,0.0000000000,0.0000000000,tie
S0006_R07,S0006,15,True,124.6536866396,0.7838351727,True,124.6536866396,0.5522844791,True,True,True,0.0000000000,0.0000000000,tie
S0006_R08,S0006,15,True,146.4404001135,0.4446108341,True,150.3166642785,0.5594685078,True,True,True,-3.8762641650,2.5787321609,nils_r
S0006_R09,S0006,15,True,145.0079138678,1.2462015152,True,143.6921381793,0.6430900097,True,True,True,1.3157756885,-0.9156907992,nils
S0006_R10,S0006,15,True,131.8894440925,0.8497457504,True,131.8894440925,0.5818717480,True,True,True,0.0000000000,0.0000000000,tie
