instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0004_R07,S0004,15,True,200.0389704946,0.9211690426,True,201.4506456329,10.0294892788,True,True,True,-1.4116751383,0.7007548344,nils_r
S0004_R08,S0004,15,True,144.4222187610,0.8039727211,True,144.4222187610,10.0268442631,True,True,True,0.0000000000,0.0000000000,tie
S0004_R09,S0004,15,True,577.7046422328,0.9415810108,True,584.0802820626,10.0191807747,True,True,True,-6.3756398298,1.0915690917,nils_r
S0004_R10,S0004,15,True,105.4184221934,1.4134867191,True,800.9406168513,10.0260412693,True,True,True,-695.5221946579,86.8381725217,nils_r
S0005_R01,S0005,15,True,163.6755226277,1.0732719898,True,4232.5118624786,10.0082788467,True,True,True,-4068.8363398509,96.1328986676,nils_r
S0005_R02,S0005,15,True,2338.5033848534,1.0235531330,True,2340.8763636666,6.0422670841,True,True,True,-2.3729788132,0.1013713859,nils_r
S0005_R03,S0005,15,True,160.7767586545,1.4829025269,True,3707.7922878073,10.0185031891,True,True,True,-3547.0155291528,95.6638143085,nils_r
S0005_R04,S0005,15,True,4263.6394876567,1.2196247578,True,4267.3216078794,10.0383911133,True,True,True,-3.6821202227,0.0862864476,nils_r
S0005_R05,S0005,15,True,1984.5697489274,0.9001200199,True,2138.1572386431,10.0224087238,True,True,True,-153.5874897157,7.1831709539,nils_r
S0005_R06,S0005,15,True,270.5836961751,1.1267633438,True,11837.0406445841,10.0653455257,True,True,True,-11566.4569484090,97.7140933760,nils_r
S0005_R07,S0005,15,True,2651.3906225486,0.9308619499,True,119.2875886367,10.0398752689,True,True,True,2532.1030339119,-2122.6877522218,feasibility_aware_alns
S0005_R08,S0005,15,True,142.7761522399,1.0836882591,True,141.3570799694,8.1127605438,True,True,True,1.4190722705,-1.0038918962,feasibility_aware_alns
S0005_R09,S0005,15,True,114.8823569984,0.7966823578,True,109.4873603352,9.5549514294,True,True,True,5.3949966632,-4.9275063776,feasibility_aware_alns
S0005_R10,S0005,15,True,3327.6537935020,1.2736399174,True,6073.1780593515,9.9033257961,True,True,True,-2745.5242658495,45.2073731252,nils_r
S0006_R01,S0006,15,True,158.2834019742,1.0115532875,True,160.1972515734,6.6481492519,True,True,True,-1.9138495992,1.1946831674,nils_r
S0006_R02,S0006,15,True,150.0090227771,0.2476177216,True,150.0002091356,10.0244796276,True,True,True,0.0088136415,-0.0058757528,feasibility_aware_alns
S0006_R03,S0006,15,True,112.6736909356,1.1103820801,True,112.6736909356,10.0352432728,True,True,True,0.0000000000,0.0000000000,tie
S0006_R04,S0006,15,True,142.3370598331,1.6325578690,True,154.7150351602,10.0144596100,True,True,True,-12.3779753271,8.0004993143,nils_r
S0006_R05,S0006,15,True,178.3952758321,2.0042326450,True,273.1861154026,10.0508921146,True,True,True,-94.7908395705,34.6982640135,nils_r
S0006_R06,S0006,15,True,131.5277426109,0.7921569347,True,132.3100575957,8.4336259365,True,True,True,-0.7823149848,0.5912740112,nils_r
S0006_R07,S0006,15,True,124.6536866396,0.7838351727,True,118.2868151552,10.0243580341,True,True,True,6.3668714844,-5.3825707253,feasibility_aware_alns
S0006_R08,S0006,15,True,146.4404001135,0.4446108341,True,150.9438224371,8.9301249981,True,True,True,-4.5034223236,2.9835088650,nils_r
S0006_R09,S0006,15,True,145.0079138678,1.2462015152,True,147.8556684074,10.3281264305,True,True,True,-2.8477545396,1.9260367697,nils_r
S0006_R10,S0006,15,True,131.8894440925,0.8497457504,True,131.8894440925,3.7479078770,True,True,True,0.0000000000,0.0000000000,tie
S0007_R01,S0007,15,True,133.6646353088,1.3524219990,True,10957.1770738731,10.0190627575,True,True,True,-10823.5124385643,98.7801179591,nils_r
S0007_R02,S0007,15,True,5746.6835756395,1.1579015255,True,5747.1092921448,9.4549894333,True,True,True,-0.4257165053,0.0074074893,nils_r
S0007_R03,S0007,15,True,130.6351642335,1.0824241638,True,130.6351642335,10.0197291374,True,True,True,0.0000000000,0.0000000000,tie
S0007_R04,S0007,15,True,161.8873433694,0.9956946373,True,596.7286486136,6.0699837208,True,True,True,-434.8413052442,72.8708611954,nils_r
S0007_R05,S0007,15,True,159.1994887636,0.4330048561,True,167.3897958185,10.0126945972,True,True,True,-8.1903070549,4.8929548034,nils_r
S0007_R06,S0007,15,True,154.7197307166,1.3716332912,True,8329.7606243727,3.4036729336,True,True,True,-8175.0408936561,98.1425669033,nils_r
S0007_R07,S0007,15,True,104.6428982091,0.9329597950,True,104.8659929896,8.1022937298,True,True,True,-0.2230947805,0.2127427340,nils_r
S0007_R08,S0007,15,True,1599.9229155565,1.2693190575,True,2384.9785495486,10.0183551311,True,True,True,-785.0556339921,32.9166748330,nils_r
S0007_R09,S0007,15,True,6547.5871271027,1.0726742744,True,6552.8728207832,10.0047838688,True,True,True,-5.2856936805,0.0806622351,nils_r
S0007_R10,S0007,15,True,96.7463076943,0.8924133778,True,99.9249194321,7.2353937626,True,True,True,-3.1786117378,3.1810000507,nils_r
S0008_R01,S0008,15,True,111.2819180258,0.9945852757,True,119.9559123517,5.3103482723,True,True,True,-8.6739943259,7.2309852477,nils_r
S0008_R02,S0008,15,True,156.9608705130,0.5725064278,True,151.9848333093,9.2474334240,True,True,True,4.9760372037,-3.2740353727,feasibility_aware_alns
S0008_R03,S0008,15,True,123.1138138757,0.9932847023,True,135.7041706917,3.6449248791,True,True,True,-12.5903568160,9.2777965127,nils_r
S0008_R04,S0008,15,True,113.3885337254,1.6837408543,True,187.4136304369,10.0271039009,True,True,True,-74.0250967115,39.4982459594,nils_r
S0008_R05,S0008,15,True,159.3163613885,0.4093339443,True,162.2363067383,10.0030725002,True,True,True,-2.9199453498,1.7998100478,nils_r
S0008_R06,S0008,15,True,145.5424682246,0.7104868889,True,172.5585230896,5.7450866699,True,True,True,-27.0160548650,15.6561695020,nils_r
S0008_R07,S0008,15,True,155.2916172503,1.8037331104,True,152.1965929896,10.0076107979,True,True,True,3.0950242607,-2.0335700030,feasibility_aware_alns
S0008_R08,S0008,15,True,135.2645299397,1.5835840702,True,133.1710209385,8.8016631603,True,True,True,2.0935090012,-1.5720454694,feasibility_aware_alns
S0008_R09,S0008,15,True,116.0600456008,0.5480909348,True,115.0361069491,10.0257418156,True,True,True,1.0239386517,-0.8901019679,feasibility_aware_alns
