lambda_distance_scale,method,status,feasible,objective,runtime_seconds,truck_cost,drone_cost,waiting_sync_cost,priority_tardiness_cost,drone_served_customers,drone_service_share,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes,served_high,served_medium,served_low,drone_served_high,drone_served_medium,drone_served_low,improvement_vs_truck_only_pct
0.125,truck_only,baseline_truck_only_ortools,True,619498.8040159907,20.247323274612427,455.77134047170097,0.0,0.0,619043.032675519,0,0.0,0,0,0,0,40,20,20,0,0,0,
0.125,simple_drone,baseline_simple_drone_ortools,True,574550.6324045954,20.443556547164917,447.15510076964875,18.583368120053876,0.0,574084.8939357057,6,0.075,7,0,0,1,40,20,20,3,1,2,7.255570361074514
0.125,paired_baseline,baseline_paired,True,495327.0643416612,24.65397572517395,455.81071514558323,23.23618113214095,328.5876014922435,494519.4298438912,6,0.075,9,4,3,3,40,20,20,3,1,2,20.043903050234842
0.125,no_unpairing,baseline_no_unpairing,True,483988.35656372504,71.14888095855713,451.1910596494555,49.41983812687003,45.01544962240606,483442.7302163263,8,0.1,11,6,5,3,40,20,20,3,2,3,21.87420646719567
0.125,nils,nils_complete,True,440727.10183140304,23.60227108001709,466.0686629185772,45.272338126870025,0.0,440215.7608303576,8,0.1,11,0,0,3,40,20,20,3,1,4,28.85747333581182
0.125,nils_no_local_search,ablation_no_local_search,True,493824.91359902127,2.7041232585906982,455.32061500747704,46.97885522541931,0.0,493322.61412878835,8,0.1,11,0,0,3,40,20,20,3,1,4,20.286381442913246
0.125,nils_no_perturbation,ablation_no_perturbation,True,485154.4185411474,2.0776193141937256,450.8383715646329,45.272338126870025,0.0,484658.3078314559,8,0.1,11,0,0,3,40,20,20,3,1,4,21.685979795915085
