rho,selected_y_json,no_retrofit_objective,conditional_only_objective,full_dda_objective,conditional_improvement,probability_improvement,total_improvement,scope
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1250.1158444344355,1128.6722889711882,911.5332829583576,121.44355546324732,217.13900601283058,338.5825614760779,"selected z,w held fixed"
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",1278.5919128196165,1153.0959917834184,927.7081811182109,125.49592103619807,225.38781066520755,350.8837317014056,"selected z,w held fixed"
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1307.0196199269496,1176.7751550599658,937.1267551597514,130.2444648669839,239.64839990021437,369.89286476719826,"selected z,w held fixed"
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",1335.365902490977,1200.3461935309033,939.4972657134642,135.01970896007379,260.84892781743906,395.86863677751285,"selected z,w held fixed"
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",1363.6322111683698,1223.830579935926,941.4908148781016,139.80163123244392,282.33976505782437,422.1413962902683,"selected z,w held fixed"
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",1388.1030059564291,1244.7078958537313,941.5807118957248,143.3951101026978,303.1271839580065,446.5222940607043,"selected z,w held fixed"
