rho,epsilon_fraction,scenario,status,robust_optimum,admissible_near_optimal_count,operationally_feasible_count,selected_objective,robust_loss_sacrifice,robust_loss_sacrifice_percent,selected_y_json,criticality_score,minimum_active_links,minimum_northern_branch_coverage,maximum_single_corridor_spend_share,metric_definition
0.0,0.005,coverage_basic,feasible,911.5332829583576,5,5,913.7509052219657,2.217622263608064,0.24328483721525185,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.005,coverage_basic,feasible,927.7081811182109,5,5,930.0073179481938,2.299136829982899,0.24782974611818887,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.005,coverage_basic,feasible,937.1267551597514,5,5,939.4953759961955,2.3686208364441654,0.2527535174300377,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.005,coverage_basic,feasible,939.4972657134642,5,5,942.2128521020837,2.7155863886194993,0.28904675806131763,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.005,coverage_basic,feasible,941.4908148781016,5,5,944.8642065780822,3.3733916999806297,0.3583031981482909,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.005,coverage_basic,feasible,941.5807118957248,5,5,945.9822611729841,4.401549277259278,0.46746383200622077,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.01,coverage_basic,feasible,911.5332829583576,5,5,913.7509052219657,2.217622263608064,0.24328483721525185,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.01,coverage_basic,feasible,927.7081811182109,5,5,930.0073179481938,2.299136829982899,0.24782974611818887,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.01,coverage_basic,feasible,937.1267551597514,5,5,939.4953759961955,2.3686208364441654,0.2527535174300377,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.01,coverage_basic,feasible,939.4972657134642,5,5,942.2128521020837,2.7155863886194993,0.28904675806131763,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.01,coverage_basic,feasible,941.4908148781016,5,5,944.8642065780822,3.3733916999806297,0.3583031981482909,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.01,coverage_basic,feasible,941.5807118957248,5,5,945.9822611729841,4.401549277259278,0.46746383200622077,"[0.0, 1.0, 1.0, 0.0, 0.25]",0.700799179434794,2,1.0,0.75,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.001,coverage_strong,infeasible,911.5332829583576,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.001,coverage_strong,infeasible,927.7081811182109,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.001,coverage_strong,infeasible,937.1267551597514,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.001,coverage_strong,infeasible,939.4972657134642,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.001,coverage_strong,infeasible,941.4908148781016,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.001,coverage_strong,infeasible,941.5807118957248,1,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.005,coverage_strong,infeasible,911.5332829583576,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.005,coverage_strong,infeasible,927.7081811182109,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.005,coverage_strong,infeasible,937.1267551597514,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.005,coverage_strong,infeasible,939.4972657134642,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.005,coverage_strong,infeasible,941.4908148781016,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.005,coverage_strong,infeasible,941.5807118957248,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.0,0.01,coverage_strong,infeasible,911.5332829583576,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.05,0.01,coverage_strong,infeasible,927.7081811182109,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.1,0.01,coverage_strong,infeasible,937.1267551597514,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.15,0.01,coverage_strong,infeasible,939.4972657134642,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.2,0.01,coverage_strong,infeasible,941.4908148781016,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
0.25,0.01,coverage_strong,infeasible,941.5807118957248,5,0,,,,"[NaN, NaN, NaN, NaN, NaN]",,3,2.0,0.5,criticality proportional to baseline failure probability * disruption minutes * sqrt(route length)
