rho,selected_y_json,selected_objective,cap_only_value,minimum_saturation_radius,universal_redundancy_radius,saturation_distribution_json
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",911.5332829583576,941.9359199358676,0.44756386169785134,0.5,"[0.0, 0.08057782537499428, 0.033629258472358224, 0.039652023992001066, 0.3181572287835746, 0.104872276048075, 0.0039295950497506395, 0.004633358101536354, 0.037176825486166465, 0.04852703216886737, 0.0019337379293424752, 0.01551579566261204, 0.020252818937574843, 0.018294566392969176, 0.023879957480431983, 0.19160638837147514, 0.00022595820841262763, 0.001813028196231506, 0.002366551647459185, 0.0021377288944457915, 0.0027903845331734706, 0.02238929876684695, 0.0008921838880682402, 0.0011645705535816334, 0.009344202474329938, 0.011017683931472792, 0.00010425211703380106, 0.0001360806300918368, 0.001091874559683674, 0.0012874216739693883, 0.0005373070821326533, 6.278459133673473e-05]"
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",927.7081811182109,941.9359199358635,0.44756386169778783,0.5,"[0.10487227604813855, 0.08057782537499429, 0.03362925847235823, 0.03965202399200107, 0.31815722933979734, 0.0, 0.00392959504975064, 0.004633358101536355, 0.03717682548616647, 0.04852703216886737, 0.0019337379293424754, 0.015515795662612042, 0.020252818937574846, 0.01829456639296918, 0.023879957480431983, 0.1916063878151889, 0.00022595820841262766, 0.0018130281962315063, 0.0023665516474591854, 0.002137728894445792, 0.002790384533173471, 0.022389298766846952, 0.0008921838880682403, 0.0011645705535816336, 0.00934420247432994, 0.011017683931472793, 0.00010425211703380107, 0.00013608063009183682, 0.0010918745596836742, 0.0012874216739693885, 0.0005373070821326534, 6.278459133673475e-05]"
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",937.1267551597514,941.9359199358676,0.44756386169770734,0.5,"[0.0, 0.08057782537499428, 0.033629258472358224, 0.039652023992001066, 0.3181572287834306, 0.10487227604821901, 0.0039295950497506395, 0.004633358101536354, 0.037176825486166465, 0.04852703216886737, 0.0019337379293424752, 0.01551579566261204, 0.020252818937574843, 0.018294566392969176, 0.023879957480431983, 0.19160638837147514, 0.00022595820841262763, 0.001813028196231506, 0.002366551647459185, 0.0021377288944457915, 0.0027903845331734706, 0.02238929876684695, 0.0008921838880682402, 0.0011645705535816334, 0.009344202474329938, 0.011017683931472792, 0.00010425211703380106, 0.0001360806300918368, 0.001091874559683674, 0.0012874216739693883, 0.0005373070821326533, 6.278459133673473e-05]"
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",939.4972657134642,941.9359199358676,0.4475638616978799,0.5,"[0.0, 0.08057782537499428, 0.033629258472358224, 0.039652023992001066, 0.3181572287836032, 0.10487227604804651, 0.0039295950497506395, 0.004633358101536354, 0.037176825486166465, 0.04852703216886737, 0.0019337379293424752, 0.01551579566261204, 0.020252818937574843, 0.018294566392969176, 0.023879957480431983, 0.19160638837147514, 0.00022595820841262763, 0.001813028196231506, 0.002366551647459185, 0.0021377288944457915, 0.0027903845331734706, 0.02238929876684695, 0.0008921838880682402, 0.0011645705535816334, 0.009344202474329938, 0.011017683931472792, 0.00010425211703380106, 0.0001360806300918368, 0.001091874559683674, 0.0012874216739693883, 0.0005373070821326533, 6.278459133673473e-05]"
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",941.4908148781016,941.9359199358662,0.4475638616976997,0.5,"[0.0, 0.08057782537499421, 0.033629258472358196, 0.03965202399200103, 0.318157229339797, 0.1048722760482266, 0.003929595049750636, 0.004633358101536349, 0.03717682548616643, 0.04852703216886732, 0.0019337379293424735, 0.015515795662612027, 0.020252818937574826, 0.01829456639296916, 0.02387995748043196, 0.1916063878151015, 0.00022595820841262741, 0.0018130281962315043, 0.0023665516474591828, 0.0021377288944457898, 0.0027903845331734684, 0.02238929876684693, 0.0008921838880682394, 0.0011645705535816323, 0.009344202474329929, 0.011017683931472783, 0.00010425211703380096, 0.00013608063009183668, 0.0010918745596836732, 0.0012874216739693872, 0.0005373070821326529, 6.278459133673468e-05]"
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",941.5807118957248,941.9359199358648,0.4475638616977199,0.5,"[0.10487227604820651, 0.08057782537499428, 0.033629258472358224, 0.039652023992001066, 0.3181572293397973, 0.0, 0.0039295950497506395, 0.004633358101536354, 0.037176825486166465, 0.04852703216886737, 0.0019337379293424752, 0.01551579566261204, 0.020252818937574843, 0.018294566392969176, 0.023879957480431983, 0.19160638781512102, 0.00022595820841262763, 0.001813028196231506, 0.002366551647459185, 0.0021377288944457915, 0.0027903845331734706, 0.02238929876684695, 0.0008921838880682402, 0.0011645705535816334, 0.009344202474329938, 0.011017683931472792, 0.00010425211703380106, 0.0001360806300918368, 0.001091874559683674, 0.0012874216739693883, 0.0005373070821326533, 6.278459133673473e-05]"
