rho,rank,objective,gap_to_best,gap_percent,selected_y_json,y_budget_used,candidate_index
0.0,1,911.5332829583576,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.0,2,913.4183305539917,1.8850475956340915,0.2067996452654168,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.0,3,913.5693955015746,2.036112543216973,0.2233722653120051,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.0,4,913.7509052219657,2.217622263608064,0.24328483721524993,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.0,5,913.7509052219687,2.2176222636110197,0.2432848372155742,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.0,6,940.1970615214652,28.6637785631076,3.144567411743875,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
0.0,7,941.7400186802053,30.206735721847622,3.313837935112193,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.0,8,941.9341460191444,30.40086306078672,3.335134726196887,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.0,9,941.9341460191453,30.40086306078763,3.335134726196987,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
0.0,10,943.5450445848937,32.0117616265361,3.5118587795985636,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
0.05,1,927.7081811182109,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.05,2,929.6635409912617,1.9553598730508384,0.21077316260097545,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.05,3,929.8200953414919,2.111914223281019,0.22764855007912382,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.05,4,930.0073179481938,2.299136829982899,0.24782974611818556,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.05,5,930.007317948194,2.2991368299831265,0.24782974611821007,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.05,6,957.5409537182886,29.83277260007776,3.215749651374088,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
