rho,selected_y_json,A_no_retrofit_reoptimized_zw,B_conditional_reoptimized_zw,C_full_dda_reoptimized_zw,conditional_improvement,probability_improvement,total_improvement,decomposition_error,scope
0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",1245.618575762247,1128.656654353664,911.5332829583576,116.96192140858307,217.12337139530632,334.0852928038894,0.0,"z,w reoptimized in A, B, and C"
0.05,"[0.25, 1.0, 1.0, 0.0, 0.0]",1273.1965571212168,1152.9631306299943,927.7081811182109,120.23342649122242,225.25494951178348,345.4883760030059,0.0,"z,w reoptimized in A, B, and C"
0.1,"[0.25, 1.0, 1.0, 0.0, 0.0]",1299.7679970165705,1176.597067785572,937.1267551597514,123.17092923099835,239.47031262582072,362.6412418568191,0.0,"z,w reoptimized in A, B, and C"
0.15,"[0.25, 1.0, 1.0, 0.0, 0.0]",1325.1858867036592,1199.757544883042,939.4972657134642,125.4283418206171,260.26027916957787,385.688620990195,0.0,"z,w reoptimized in A, B, and C"
0.2,"[0.25, 1.0, 1.0, 0.0, 0.0]",1345.852724611088,1222.138163505238,941.4908148781016,123.71456110584995,280.64734862713647,404.3619097329864,0.0,"z,w reoptimized in A, B, and C"
0.25,"[0.25, 1.0, 1.0, 0.0, 0.0]",1363.5397051148198,1242.3465953660452,941.5807118957248,121.19310974877453,300.76588347032043,421.95899321909496,0.0,"z,w reoptimized in A, B, and C"
