rho,stored_objective,replayed_objective,replay_discrepancy,replayed_oracle_gap,maximum_state_primal_dual_discrepancy,nominal_probability_sum_error,worst_case_probability_sum_error
0.0,1070.808480778403,1070.808480778403,0.0,6.821210263296962e-13,6.821210263296962e-13,0.0,0.0
0.1,1159.71029921385,1159.7102992138502,2.2737367544323206e-13,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
0.25,1222.7878752236763,1222.787875223676,2.2737367544323206e-13,0.0,2.2737367544323206e-13,0.0,0.0
