model,rho,corridor,y_level,target_nominal_marginal,computed_nominal_marginal,absolute_error
M4,0.0,corr_anamizu_noto,0.0,0.3157142857142857,0.3157142857142857,0.0
M4,0.0,corr_anamizu_suzu,0.0,0.3758730158730159,0.3758730158730158,1.1102230246251565e-16
M4,0.1,corr_kanazawa_nanao,0.25,0.10462500000000001,0.10462500000000004,2.7755575615628914e-17
M4,0.1,corr_nanao_anamizu,1.0,0.04650000000000001,0.046500000000000014,6.938893903907228e-18
M4,0.1,corr_anamizu_wajima,1.0,0.054375,0.05437499999999999,6.938893903907228e-18
M4,0.1,corr_anamizu_noto,0.0,0.3157142857142857,0.3157142857142857,0.0
M4,0.1,corr_anamizu_suzu,0.0,0.3758730158730159,0.3758730158730158,1.1102230246251565e-16
M4,0.25,corr_kanazawa_nanao,0.0,0.135,0.13500000000000004,2.7755575615628914e-17
M4,0.25,corr_nanao_anamizu,1.0,0.04650000000000001,0.04650000000000002,1.3877787807814457e-17
M4,0.25,corr_anamizu_wajima,1.0,0.054375,0.05437499999999999,6.938893903907228e-18
M4,0.25,corr_anamizu_noto,0.0,0.3157142857142857,0.3157142857142858,5.551115123125783e-17
M4,0.25,corr_anamizu_suzu,0.25,0.29130158730158734,0.29130158730158734,0.0
