scenario_id,density_cap,response_profile,rho,tau,Psi_rho,Psi_0,co_benefit,incremental_equity_value,complementarity_DID
k2p00__higher_timely_credit,2.0,higher_timely_credit,0.25,0.005,0.3720703125,0.281005859375,0.091064453125,0.0,0.0
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.1,0.001,0.1650390625,0.1650390625,0.0,0.0,0.0
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.1,0.005,0.206298828125,0.1650390625,0.041259765625,0.041259765625,0.041259765625
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.125,0.001,0.2540283203125,0.1650390625,0.0889892578125,0.0,0.0
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.125,0.005,0.2540283203125,0.1650390625,0.0889892578125,0.0,0.0
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.25,0.001,0.24884033203125,0.1650390625,0.08380126953125,0.0,0.0
k2p00__lower_timely_credit,2.0,lower_timely_credit,0.25,0.005,0.24884033203125,0.1650390625,0.08380126953125,0.0,0.0
k3p00__base,3.0,base,0.1,0.001,0.28302001953125,0.19390869140625,0.089111328125,0.0,0.0
k3p00__base,3.0,base,0.1,0.005,0.28302001953125,0.19390869140625,0.089111328125,0.0,0.0
k3p00__base,3.0,base,0.125,0.001,0.2666015625,0.19390869140625,0.07269287109375,0.0,0.0
k3p00__base,3.0,base,0.125,0.005,0.2823486328125,0.19390869140625,0.08843994140625,0.0157470703125,0.0157470703125
k3p00__base,3.0,base,0.25,0.001,0.2769775390625,0.19390869140625,0.08306884765625,0.0,0.0
k3p00__base,3.0,base,0.25,0.005,0.2769775390625,0.19390869140625,0.08306884765625,0.0,0.0
